Hand,Max,Exploited,PctExploited,P0Vulnerability,Winnings
0,0.196244656,0.001377609,0.007019855,2.347681319,-1
1,0.196244656,-0.069253088,-0.352891588,3.931014653,-6
2,0.196244656,0.083651754,0.426262582,3.581014653,-1.0
3,0.196244656,0.101132603,0.515339399,2.014347986,2.0
4,0.196244656,-0.002383426,-0.012145175,3.381014653,2.0
5,0.196244656,0.114636368,0.584150265,4.481014653,-1.0
6,0.196244656,0.011748152,0.059864823,3.114347986,4.0
7,0.196244656,0.022615123,0.115239435,4.164347986,1.0
8,0.196244656,-0.005493081,-0.027990983,3.881014653,6.0
9,0.196244656,0.140909086,0.718027632,1.731014653,7.0
10,0.196244656,0.048304693,0.246145264,4.114347986,8.0
11,0.196244656,0.037851489,0.192879082,4.114347986,8.0
12,0.196244656,0.087897431,0.447897192,3.147681319,13.0
13,0.196244656,0.059148632,0.301402512,3.647681319,16.0
14,0.196244656,-0.010034909,-0.051134687,3.181014653,13.0
15,0.196244656,0.006011150,0.030630896,4.647681319,8.0
16,0.196244656,0.145817691,0.743040316,3.181014653,11.0
17,0.196244656,0.092840391,0.473084939,2.664347986,20.0
18,0.196244656,0.093794680,0.477947687,3.847681319,23.0
19,0.196244656,0.037102613,0.189063049,1.981014653,14.0
20,0.196244656,0.114325098,0.582564134,3.314347986,13.0
21,0.196244656,-0.036018136,-0.183536902,2.547681319,4.0
22,0.196244656,0.130366191,0.664304413,3.047681319,9.0
23,0.196244656,0.094944234,0.483805447,4.047681319,12.0
24,0.196244656,0.043808416,0.223233676,2.781014653,12.0
25,0.196244656,0.052737777,0.268734841,3.231014653,17.0
26,0.196244656,0.090698480,0.462170443,5.181014653,10.0
27,0.196244656,0.100952956,0.514423972,2.914347986,9.0
28,0.196244656,0.092360204,0.470638057,3.647681319,2.0
29,0.196244656,0.049686102,0.253184485,3.797681319,2.0
30,0.196244656,0.003236415,0.016491737,4.214347986,1.0
31,0.196244656,0.131964853,0.672450680,3.081014653,1.0
32,0.196244656,0.087107663,0.443872788,5.014347986,-8.0
33,0.196244656,0.105051115,0.535306881,2.581014653,-11.0
34,0.196244656,0.035605912,0.181436338,1.681014653,-18.0
35,0.196244656,0.116694174,0.594636185,2.947681319,-15.0
36,0.196244656,0.027976121,0.142557363,2.431014653,-15.0
37,0.196244656,0.049249801,0.250961235,2.814347986,-16.0
38,0.196244656,0.099270412,0.505850268,5.047681319,-19.0
39,0.196244656,0.076599914,0.390328660,1.847681319,-16.0
40,0.196244656,0.085655146,0.436471226,3.881014653,-11.0
41,0.196244656,0.072717814,0.370546721,4.747681319,-20.0
42,0.196244656,0.016525829,0.084210341,3.147681319,-25.0
43,0.196244656,0.068193211,0.347490790,5.281014653,-20.0
44,0.196244656,0.101837972,0.518933734,3.081014653,-19.0
45,0.196244656,0.077779430,0.396339098,3.014347986,-26.0
46,0.196244656,0.045063307,0.229628199,3.747681319,-29.0
47,0.196244656,0.076686419,0.390769464,2.114347986,-42.0
48,0.196244656,0.033212410,0.169239816,2.147681319,-31.0
49,0.196244656,-0.026614380,-0.135618370,4.281014653,-31.0
50,0.196244656,0.057851748,0.294794006,3.214347986,-28.0
51,0.196244656,0.075081569,0.382591659,3.581014653,-23.0
52,0.196244656,0.072893408,0.371441490,5.147681319,-16.0
53,0.196244656,0.116716287,0.594748865,3.747681319,-13.0
54,0.196244656,0.092416571,0.470925284,3.481014653,-8.0
55,0.196244656,0.103604104,0.527933377,2.447681319,-5.0
56,0.196244656,0.072728629,0.370601831,3.581014653,-4.0
57,0.196244656,0.075520025,0.384825894,3.481014653,-3.0
58,0.196244656,0.120175322,0.612375005,4.714347986,-2.0
59,0.196244656,0.111928931,0.570354031,3.414347986,-11.0
60,0.196244656,0.035343483,0.180099083,4.347681319,-18.0
61,0.196244656,0.018150895,0.092491154,3.981014653,-13.0
62,0.196244656,0.001275348,0.006498764,3.431014653,-20.0
63,0.196244656,0.071820930,0.365976487,2.981014653,-31.0
64,0.196244656,0.062700211,0.319500222,3.781014653,-30.0
65,0.196244656,0.136206147,0.694062960,1.831014653,-33.0
66,0.196244656,0.012402259,0.063197944,1.681014653,-33.0
67,0.196244656,0.068059695,0.346810437,3.314347986,-28.0
68,0.196244656,0.137163697,0.698942330,1.847681319,-33.0
69,0.196244656,0.053227244,0.271229009,3.181014653,-26.0
70,0.196244656,0.081276917,0.414161172,3.581014653,-19.0
71,0.196244656,0.088587894,0.451415571,4.414347986,-19.0
72,0.196244656,0.033254591,0.169454762,3.847681319,-16.0
73,0.196244656,0.170267030,0.867626326,2.714347986,-15.0
74,0.196244656,0.110030391,0.560679680,4.681014653,-12.0
75,0.196244656,0.097179323,0.495194747,2.314347986,-19.0
76,0.196244656,-0.032045598,-0.163294116,5.214347986,-16.0
77,0.196244656,0.039981202,0.203731416,3.814347986,-19.0
78,0.196244656,0.022383880,0.114061094,2.047681319,-18.0
79,0.196244656,0.130589126,0.665440419,2.464347986,-13.0
80,0.196244656,0.022171296,0.112977831,1.681014653,-18.0
81,0.196244656,0.029735828,0.151524266,3.014347986,-19.0
82,0.196244656,0.067242050,0.342643978,3.664347986,-30.0
83,0.196244656,0.075789497,0.386199034,4.481014653,-30.0
84,0.196244656,0.137482624,0.700567476,3.331014653,-39.0
85,0.196244656,0.123977794,0.631751185,3.214347986,-34.0
86,0.196244656,0.088585099,0.451401332,2.314347986,-33.0
87,0.196244656,0.051057927,0.260174866,2.747681319,-26.0
88,0.196244656,0.080907970,0.412281135,3.381014653,-23.0
89,0.196244656,0.094171929,0.479870031,3.147681319,-30.0
90,0.196244656,0.044970069,0.229153090,2.747681319,-21.0
91,0.196244656,0.111332113,0.567312837,2.681014653,-21.0
92,0.196244656,0.119632226,0.609607558,5.014347986,-12.0
93,0.196244656,0.125301739,0.638497584,1.681014653,-7.0
94,0.196244656,0.083234889,0.424138369,2.997681319,-12.0
95,0.196244656,0.029386391,0.149743647,3.347681319,-11.0
96,0.196244656,0.136688467,0.696520707,2.447681319,-11.0
97,0.196244656,0.047486613,0.241976590,3.931014653,-11.0
98,0.196244656,0.082747721,0.421655919,2.881014653,-14.0
99,0.196244656,0.012675100,0.064588255,3.147681319,-23.0
100,0.196244656,0.124673127,0.635294377,2.047681319,-26.0
101,0.196244656,0.095753636,0.487929900,1.614347986,-13.0
102,0.196244656,0.129260043,0.658667836,1.964347986,-16.0
103,0.196244656,0.056152298,0.286134151,2.281014653,-25.0
104,0.196244656,0.123518233,0.629409409,2.814347986,-32.0
105,0.196244656,0.050916389,0.259453635,1.847681319,-31.0
106,0.196244656,0.142050044,0.723841588,1.781014653,-28.0
107,0.196244656,0.073281092,0.373417007,2.514347986,-21.0
108,0.196244656,0.072397950,0.368916797,2.147681319,-18.0
109,0.196244656,0.047090585,0.239958559,3.981014653,-15.0
110,0.196244656,0.086832096,0.442468586,3.281014653,-26.0
111,0.196244656,0.113437653,0.578041995,2.881014653,-25.0
112,0.196244656,0.046863729,0.238802575,2.247681319,-28.0
113,0.196244656,0.057814421,0.294603800,2.414347986,-21.0
114,0.196244656,0.071178739,0.362704087,2.781014653,-18.0
115,0.196244656,0.103631499,0.528072972,4.381014653,-17.0
116,0.196244656,0.019288524,0.098288147,1.747681319,-18.0
117,0.196244656,0.052254543,0.266272437,3.214347986,-15.0
118,0.196244656,0.063608242,0.324127254,2.347681319,-15.0
119,0.196244656,0.051687039,0.263380619,1.864347986,-24.0
120,0.196244656,0.002153791,0.010975030,2.997681319,-23.0
121,0.196244656,0.103602856,0.527927017,2.414347986,-22.0
122,0.196244656,0.067117879,0.342011243,2.897681319,-21.0
123,0.196244656,0.093690083,0.477414698,2.314347986,-26.0
124,0.196244656,0.054179576,0.276081789,2.247681319,-25.0
125,0.196244656,0.086196195,0.439228241,2.847681319,-28.0
126,0.196244656,0.052503393,0.267540498,2.714347986,-37.0
127,0.196244656,0.100066551,0.509907139,3.397681319,-36.0
128,0.196244656,-0.006561433,-0.033434964,2.314347986,-33.0
129,0.196244656,0.086195777,0.439226108,3.914347986,-34.0
130,0.196244656,-0.008242532,-0.042001305,2.847681319,-34.0
131,0.196244656,0.100734378,0.513310170,2.814347986,-37.0
132,0.196244656,0.073914810,0.376646230,2.947681319,-37.0
133,0.196244656,0.090754366,0.462455221,3.447681319,-28.0
134,0.196244656,0.047913428,0.244151503,2.647681319,-23.0
135,0.196244656,0.122148420,0.622429277,1.647681319,-18.0
136,0.196244656,-0.005235076,-0.026676272,2.047681319,-15.0
137,0.196244656,0.079399451,0.404594204,3.214347986,-16.0
138,0.196244656,0.111294762,0.567122509,2.647681319,-13.0
139,0.196244656,0.059176601,0.301545032,2.247681319,-2.0
140,0.196244656,0.130070578,0.662798064,2.347681319,-1.0
141,0.196244656,0.069904185,0.356209368,2.414347986,2.0
142,0.196244656,0.101759579,0.518534266,2.164347986,-1.0
143,0.196244656,0.025326362,0.129055038,2.747681319,-4.0
144,0.196244656,0.086361922,0.440072734,3.147681319,-3.0
145,0.196244656,0.088096405,0.448911102,3.147681319,-2.0
146,0.196244656,0.098946585,0.504200148,1.847681319,-2.0
147,0.196244656,0.030839673,0.157149109,2.347681319,-3.0
148,0.196244656,0.070294810,0.358199869,3.781014653,-12.0
149,0.196244656,0.026376070,0.134404018,2.047681319,-11.0
150,0.196244656,0.035758037,0.182211518,2.347681319,-10.0
151,0.196244656,0.064130645,0.326789257,2.681014653,3.0
152,0.196244656,0.070229015,0.357864597,2.581014653,4.0
153,0.196244656,0.063466686,0.323405932,3.281014653,1.0
154,0.196244656,0.092037748,0.468994926,2.447681319,1.0
155,0.196244656,0.163435701,0.832816056,2.714347986,6.0
156,0.196244656,0.040901133,0.208419094,2.281014653,15.0
157,0.196244656,0.033395616,0.170173375,2.347681319,12.0
158,0.196244656,0.088804565,0.452519659,3.514347986,15.0
159,0.196244656,0.070265215,0.358049060,2.014347986,20.0
160,0.196244656,0.060025193,0.305869185,2.147681319,7.0
161,0.196244656,0.007569487,0.038571685,1.897681319,12.0
162,0.196244656,0.070283511,0.358142289,1.247681319,9.0
163,0.196244656,0.059812600,0.304785880,1.847681319,14.0
164,0.196244656,0.024291284,0.123780611,3.847681319,11.0
165,0.196244656,0.063724147,0.324717868,2.614347986,12.0
166,0.196244656,0.016122248,0.082153817,2.681014653,25.0
167,0.196244656,0.007069410,0.036023455,2.247681319,30.0
168,0.196244656,0.090305556,0.460168227,3.314347986,31.0
169,0.196244656,0.073656912,0.375332067,1.647681319,32.0
170,0.196244656,0.073699025,0.375546657,2.347681319,32.0
171,0.196244656,0.072259730,0.368212472,1.814347986,39.0
