Hand,Max,Exploited,PctExploited,P0Vulnerability,Winnings
0,0.059951610,-0.084387353,-1.407591105,2.764347986,-1
1,0.059951610,-0.137136609,-2.287454965,2.881014653,-4
2,0.059951610,-0.133902231,-2.233505158,3.614347986,-1.0
3,0.059951610,-0.259266244,-4.324591822,3.281014653,2.0
4,0.059951610,-0.089082862,-1.485912744,2.564347986,-7.0
5,0.059951610,-0.145687711,-2.430088373,3.081014653,-10.0
6,0.059951610,-0.007337302,-0.122387072,2.581014653,-11.0
7,0.059951610,-0.131356015,-2.191033971,4.981014653,-18.0
8,0.059951610,-0.230937045,-3.852057411,4.914347986,-27.0
9,0.059951610,-0.084270095,-1.405635220,2.481014653,-34.0
10,0.059951610,-0.257020078,-4.287125512,2.997681319,-25.0
11,0.059951610,-0.060541073,-1.009832300,4.564347986,-34.0
12,0.059951610,-0.310265896,-5.175272086,4.181014653,-31.0
13,0.059951610,-0.118831317,-1.982120518,3.531014653,-30.0
14,0.059951610,-0.125959012,-2.101011323,4.231014653,-35.0
15,0.059951610,-0.180117213,-3.004376560,3.814347986,-30.0
16,0.059951610,-0.167460801,-2.793266096,5.047681319,-29.0
17,0.059951610,-0.109373910,-1.824369852,3.981014653,-38.0
18,0.059951610,-0.028988656,-0.483534233,4.614347986,-35.0
19,0.059951610,-0.085321180,-1.423167447,3.647681319,-42.0
20,0.059951610,-0.094342258,-1.573640097,3.647681319,-37.0
21,0.059951610,-0.124174429,-2.071244263,5.214347986,-30.0
22,0.059951610,-0.139704691,-2.330290883,1.881014653,-30.0
23,0.059951610,-0.147624990,-2.462402405,3.647681319,-37.0
24,0.059951610,-0.133671059,-2.229649182,4.947681319,-38.0
25,0.059951610,-0.092694979,-1.546163290,3.214347986,-37.0
26,0.059951610,-0.123313453,-2.056883086,4.981014653,-37.0
27,0.059951610,-0.050060990,-0.835023268,4.114347986,-28.0
28,0.059951610,-0.052205178,-0.870788591,4.414347986,-35.0
29,0.059951610,-0.154476776,-2.576691020,4.114347986,-34.0
30,0.059951610,-0.121636847,-2.028917087,3.814347986,-34.0
31,0.059951610,-0.067356701,-1.123517786,4.447681319,-33.0
32,0.059951610,-0.151692283,-2.530245353,4.114347986,-32.0
33,0.059951610,-0.049103119,-0.819045877,3.647681319,-27.0
34,0.059951610,-0.088628453,-1.478333153,2.647681319,-30.0
35,0.059951610,-0.071076504,-1.185564559,2.681014653,-29.0
36,0.059951610,-0.146272640,-2.439845052,4.247681319,-26.0
37,0.059951610,-0.072615059,-1.211227827,4.114347986,-31.0
38,0.059951610,-0.128930765,-2.150580508,4.614347986,-30.0
39,0.059951610,-0.090738990,-1.513537162,2.481014653,-25.0
40,0.059951610,-0.146474402,-2.443210467,3.981014653,-25.0
41,0.059951610,-0.150823664,-2.515756684,4.881014653,-30.0
42,0.059951610,-0.066614533,-1.111138337,3.747681319,-29.0
43,0.059951610,-0.175826268,-2.932803086,4.147681319,-26.0
44,0.059951610,-0.126415585,-2.108627015,2.747681319,-25.0
45,0.059951610,-0.062470683,-1.042018429,4.147681319,-16.0
46,0.059951610,-0.046560805,-0.776639764,4.647681319,-25.0
47,0.059951610,-0.130361805,-2.174450426,3.847681319,-32.0
48,0.059951610,-0.104036066,-1.735333974,4.781014653,-31.0
49,0.059951610,-0.095369261,-1.590770633,4.881014653,-34.0
50,0.059951610,-0.119240574,-1.988946975,3.681014653,-34.0
51,0.059951610,-0.077777422,-1.297336658,3.914347986,-43.0
52,0.059951610,-0.147929387,-2.467479790,4.147681319,-34.0
53,0.059951610,-0.126328331,-2.107171599,4.914347986,-33.0
54,0.059951610,-0.077037253,-1.284990552,1.614347986,-24.0
55,0.059951610,-0.178342794,-2.974779045,4.981014653,-21.0
56,0.059951610,-0.167892950,-2.800474406,4.014347986,-26.0
57,0.059951610,-0.058139054,-0.969766339,2.781014653,-26.0
58,0.059951610,-0.169191255,-2.822130274,4.114347986,-26.0
59,0.059951610,-0.164482890,-2.743594189,3.347681319,-21.0
60,0.059951610,-0.054067291,-0.901848849,3.781014653,-16.0
61,0.059951610,-0.080819841,-1.348084567,4.014347986,-13.0
62,0.059951610,-0.076348941,-1.273509424,3.481014653,-16.0
63,0.059951610,-0.143577299,-2.394886453,4.347681319,-15.0
64,0.059951610,-0.176607825,-2.945839551,3.081014653,-10.0
65,0.059951610,-0.028836198,-0.480991214,3.514347986,-17.0
66,0.059951610,-0.085100256,-1.419482403,4.314347986,-17.0
67,0.059951610,-0.131224642,-2.188842657,2.864347986,-16.0
68,0.059951610,-0.179259017,-2.990061754,5.781014653,-17.0
69,0.059951610,-0.156845766,-2.616206061,3.414347986,-12.0
70,0.059951610,-0.089322178,-1.489904569,5.047681319,-7.0
71,0.059951610,-0.138213819,-2.305422959,3.181014653,-4.0
72,0.059951610,-0.122295551,-2.039904357,5.281014653,-11.0
73,0.059951610,-0.086932041,-1.450036803,3.847681319,-10.0
74,0.059951610,-0.038044046,-0.634579224,3.197681319,-10.0
75,0.059951610,-0.097654168,-1.628883159,4.847681319,-13.0
76,0.059951610,-0.090950372,-1.517063031,2.447681319,-12.0
77,0.059951610,-0.077610120,-1.294546040,3.981014653,-9.0
78,0.059951610,-0.087400050,-1.457843248,3.381014653,-16.0
79,0.059951610,-0.088196366,-1.471125880,3.981014653,-15.0
80,0.059951610,-0.084691625,-1.412666392,3.647681319,-15.0
81,0.059951610,-0.057746218,-0.963213792,1.547681319,-24.0
82,0.059951610,-0.183562114,-3.061837928,3.347681319,-17.0
83,0.059951610,-0.117688456,-1.963057459,3.281014653,-14.0
84,0.059951610,-0.058301729,-0.972479784,4.381014653,-11.0
85,0.059951610,-0.140995283,-2.351818117,3.347681319,-6.0
86,0.059951610,-0.129323257,-2.157127328,2.731014653,-5.0
87,0.059951610,-0.092244971,-1.538657095,3.047681319,-18.0
88,0.059951610,-0.022138510,-0.369272978,4.297681319,-19.0
89,0.059951610,-0.058663900,-0.978520836,3.847681319,-26.0
90,0.059951610,-0.108210682,-1.804967063,4.714347986,-26.0
91,0.059951610,-0.077388239,-1.290845035,3.147681319,-25.0
92,0.059951610,-0.105071653,-1.752607687,3.481014653,-28.0
93,0.059951610,-0.154165351,-2.571496419,3.914347986,-37.0
94,0.059951610,-0.059444216,-0.991536595,3.981014653,-46.0
95,0.059951610,-0.109357445,-1.824095201,3.781014653,-55.0
96,0.059951610,-0.046415245,-0.774211807,3.714347986,-54.0
97,0.059951610,-0.070307961,-1.172745170,4.347681319,-57.0
98,0.059951610,-0.133752919,-2.231014618,4.014347986,-52.0
99,0.059951610,-0.183424146,-3.059536605,4.047681319,-47.0
100,0.059951610,-0.121872549,-2.032848630,3.247681319,-42.0
101,0.059951610,-0.116604490,-1.944976782,3.314347986,-51.0
102,0.059951610,-0.087000719,-1.451182361,3.014347986,-60.0
103,0.059951610,-0.013758033,-0.229485633,3.147681319,-59.0
104,0.059951610,-0.096109573,-1.603119124,5.014347986,-66.0
105,0.059951610,-0.165796266,-2.765501455,4.847681319,-73.0
106,0.059951610,-0.099245254,-1.655422652,4.914347986,-64.0
107,0.059951610,-0.147216811,-2.455593937,2.347681319,-55.0
108,0.059951610,-0.133498743,-2.226774939,4.214347986,-54.0
109,0.059951610,-0.066922825,-1.116280699,3.247681319,-53.0
110,0.059951610,-0.062462958,-1.041889580,4.447681319,-52.0
111,0.059951610,-0.140100176,-2.336887614,2.281014653,-59.0
112,0.059951610,-0.082911299,-1.382970346,3.897681319,-56.0
113,0.059951610,-0.048905705,-0.815752976,1.614347986,-59.0
114,0.059951610,-0.042094378,-0.702139243,2.381014653,-59.0
115,0.059951610,-0.056390841,-0.940605943,3.847681319,-58.0
116,0.059951610,-0.180217713,-3.006052911,4.247681319,-58.0
117,0.059951610,-0.074204876,-1.237746171,4.047681319,-53.0
118,0.059951610,-0.170207269,-2.839077522,2.114347986,-52.0
119,0.059951610,-0.079805725,-1.331168999,3.714347986,-61.0
120,0.059951610,0.017309968,0.288732320,2.881014653,-68.0
121,0.059951610,-0.104090524,-1.736242337,4.281014653,-69.0
122,0.059951610,-0.186359694,-3.108501881,4.047681319,-74.0
123,0.059951610,-0.093684010,-1.562660445,4.181014653,-74.0
124,0.059951610,-0.130091760,-2.169946050,4.247681319,-71.0
125,0.059951610,-0.100610847,-1.678200906,4.514347986,-84.0
126,0.059951610,-0.128731410,-2.147255248,3.947681319,-83.0
127,0.059951610,-0.157965361,-2.634881029,4.381014653,-83.0
128,0.059951610,-0.146911552,-2.450502187,5.014347986,-96.0
129,0.059951610,-0.155437326,-2.592713108,4.247681319,-96.0
130,0.059951610,-0.185617734,-3.096125909,4.747681319,-95.0
131,0.059951610,-0.184076168,-3.070412395,4.747681319,-100.0
132,0.059951610,-0.074743962,-1.246738192,2.847681319,-109.0
133,0.059951610,-0.107927091,-1.800236727,3.514347986,-122.0
134,0.059951610,-0.116936066,-1.950507513,4.281014653,-115.0
135,0.059951610,-0.139719551,-2.330538750,4.147681319,-102.0
136,0.059951610,-0.094160379,-1.570606340,4.014347986,-111.0
137,0.059951610,-0.105542991,-1.760469658,4.881014653,-111.0
138,0.059951610,-0.066472866,-1.108775327,4.747681319,-111.0
139,0.059951610,-0.057537245,-0.959728095,3.314347986,-104.0
140,0.059951610,-0.083238694,-1.388431333,3.681014653,-101.0
141,0.059951610,-0.187041513,-3.119874717,5.047681319,-100.0
142,0.059951610,-0.154052879,-2.569620370,3.781014653,-100.0
143,0.059951610,-0.057678871,-0.962090444,2.814347986,-97.0
144,0.059951610,-0.145002527,-2.418659420,3.114347986,-90.0
145,0.059951610,-0.151322045,-2.524069723,2.414347986,-83.0
146,0.059951610,-0.130154699,-2.170995875,3.547681319,-82.0
147,0.059951610,-0.049525597,-0.826092850,2.747681319,-81.0
148,0.059951610,-0.082867579,-1.382241080,3.214347986,-74.0
149,0.059951610,-0.045294418,-0.755516285,4.814347986,-73.0
150,0.059951610,-0.093637266,-1.561880748,3.581014653,-73.0
151,0.059951610,-0.109335024,-1.823721216,2.747681319,-64.0
152,0.059951610,-0.086754329,-1.447072539,3.781014653,-77.0
153,0.059951610,-0.185833103,-3.099718292,4.514347986,-76.0
154,0.059951610,-0.112348306,-1.873983118,3.481014653,-85.0
155,0.059951610,-0.156360194,-2.608106655,2.447681319,-92.0
156,0.059951610,-0.119758962,-1.997593743,4.114347986,-92.0
157,0.059951610,-0.150406395,-2.508796582,4.847681319,-92.0
158,0.059951610,-0.074615767,-1.244599874,4.147681319,-91.0
159,0.059951610,-0.169052313,-2.819812710,4.047681319,-90.0
160,0.059951610,-0.142978278,-2.384894706,4.581014653,-90.0
161,0.059951610,-0.131701023,-2.196788750,4.347681319,-99.0
162,0.059951610,-0.071470323,-1.192133502,2.681014653,-90.0
163,0.059951610,-0.149296468,-2.490282858,4.781014653,-90.0
164,0.059951610,-0.106387191,-1.774551021,3.781014653,-91.0
165,0.059951610,-0.117680652,-1.962927287,4.181014653,-91.0
166,0.059951610,-0.171676296,-2.863581070,2.347681319,-90.0
167,0.059951610,-0.092951514,-1.550442317,4.281014653,-89.0
168,0.059951610,-0.145295824,-2.423551653,3.264347986,-92.0
169,0.059951610,-0.083670662,-1.395636598,4.847681319,-101.0
170,0.059951610,-0.076347391,-1.273483570,3.247681319,-100.0
171,0.059951610,-0.162840071,-2.716191781,3.247681319,-100.0
172,0.059951610,-0.117169361,-1.954398897,3.614347986,-99.0
173,0.059951610,-0.097066158,-1.619075072,2.847681319,-98.0
174,0.059951610,-0.114849476,-1.915702933,2.347681319,-95.0
175,0.059951610,-0.150991487,-2.518555977,2.297681319,-98.0
176,0.059951610,-0.088490354,-1.476029642,3.414347986,-97.0
177,0.059951610,-0.147332786,-2.457528423,2.997681319,-97.0
178,0.059951610,-0.121968146,-2.034443201,2.781014653,-104.0
179,0.059951610,-0.107677611,-1.796075371,3.647681319,-99.0
180,0.059951610,-0.050971962,-0.850218395,2.647681319,-102.0
181,0.059951610,-0.144649765,-2.412775307,3.481014653,-101.0
182,0.059951610,-0.132028956,-2.202258713,4.447681319,-100.0
183,0.059951610,-0.175618061,-2.929330169,4.714347986,-103.0
184,0.059951610,-0.182766807,-3.048572104,4.481014653,-110.0
185,0.059951610,-0.129605251,-2.161831025,4.347681319,-123.0
186,0.059951610,-0.087770119,-1.464016041,3.547681319,-122.0
187,0.059951610,-0.090445577,-1.508642991,3.614347986,-119.0
188,0.059951610,-0.098601796,-1.644689696,3.914347986,-118.0
189,0.059951610,-0.126739362,-2.114027659,3.714347986,-115.0
190,0.059951610,-0.018784715,-0.313331284,3.214347986,-114.0
191,0.059951610,-0.116841757,-1.948934414,2.881014653,-111.0
192,0.059951610,-0.083717448,-1.396417001,2.281014653,-112.0
193,0.059951610,-0.073403638,-1.224381416,2.947681319,-121.0
194,0.059951610,-0.141816191,-2.365510958,4.414347986,-130.0
195,0.059951610,-0.032380225,-0.540106003,3.547681319,-129.0
196,0.059951610,-0.060872025,-1.015352618,3.247681319,-136.0
197,0.059951610,-0.075583608,-1.260743584,4.647681319,-135.0
198,0.059951610,-0.136011739,-2.268692001,5.414347986,-140.0
199,0.059951610,-0.127717483,-2.130342833,3.514347986,-137.0
