Hand,Max,Exploited,PctExploited,P0Vulnerability,Winnings
0,0.092807214,-0.147528338,-1.589621458,3.647681319,0.0
1,0.092807214,-0.103105034,-1.110959272,2.947681319,-11.0
2,0.092807214,-0.203374169,-2.191361652,2.847681319,-20.0
3,0.092807214,-0.070599339,-0.760709612,3.514347986,-20.0
4,0.092807214,0.057555224,0.620158954,4.247681319,-17.0
5,0.092807214,-0.153207617,-1.650815824,5.214347986,-16.0
6,0.092807214,-0.227048818,-2.446456575,2.981014653,-19.0
7,0.092807214,-0.021601047,-0.232751811,3.447681319,-18.0
8,0.092807214,-0.172967111,-1.863724860,4.881014653,-21.0
9,0.092807214,-0.096567114,-1.040513017,5.081014653,-32.0
10,0.092807214,-0.119230740,-1.284714145,3.947681319,-41.0
11,0.092807214,0.000135810,0.001463352,4.314347986,-40.0
12,0.092807214,-0.004509766,-0.048592844,2.647681319,-35.0
13,0.092807214,0.012751333,0.137395924,3.781014653,-32.0
14,0.092807214,-0.028434920,-0.306386962,4.347681319,-35.0
15,0.092807214,-0.101018082,-1.088472304,5.681014653,-35.0
16,0.092807214,-0.141865441,-1.528603599,4.514347986,-32.0
17,0.092807214,-0.144631281,-1.558405599,3.414347986,-35.0
18,0.092807214,-0.141182316,-1.521242918,3.881014653,-32.0
19,0.092807214,-0.137510612,-1.481680214,5.247681319,-39.0
20,0.092807214,-0.150970904,-1.626715193,2.564347986,-32.0
21,0.092807214,-0.105027397,-1.131672774,4.047681319,-31.0
22,0.092807214,-0.102565732,-1.105148279,5.114347986,-26.0
23,0.092807214,-0.181433360,-1.954948898,3.164347986,-35.0
24,0.092807214,-0.126383546,-1.361785802,3.114347986,-26.0
25,0.092807214,-0.183717231,-1.979557666,2.014347986,-23.0
26,0.092807214,-0.105012011,-1.131506994,3.947681319,-22.0
27,0.092807214,-0.102761123,-1.107253615,5.714347986,-22.0
28,0.092807214,-0.074871219,-0.806739222,3.281014653,-21.0
29,0.092807214,-0.089733892,-0.966884884,4.747681319,-20.0
30,0.092807214,-0.099884200,-1.076254702,4.381014653,-21.0
31,0.092807214,-0.036721257,-0.395672448,3.147681319,-18.0
32,0.092807214,-0.091290148,-0.983653586,4.514347986,-23.0
33,0.092807214,-0.063182681,-0.680794931,2.847681319,-22.0
34,0.092807214,-0.163091249,-1.757312205,4.247681319,-27.0
35,0.092807214,-0.113894319,-1.227214075,3.314347986,-22.0
36,0.092807214,-0.137226386,-1.478617675,3.947681319,-21.0
37,0.092807214,-0.094289338,-1.015969928,2.981014653,-16.0
38,0.092807214,-0.090092836,-0.970752514,2.081014653,-21.0
39,0.092807214,-0.090957214,-0.980066208,3.114347986,-16.0
40,0.092807214,-0.094201343,-1.015021784,4.181014653,-15.0
41,0.092807214,-0.071920943,-0.774949925,3.014347986,-10.0
42,0.092807214,-0.083180033,-0.896266895,3.347681319,-9.0
43,0.092807214,-0.119692677,-1.289691532,2.914347986,-9.0
44,0.092807214,-0.018987105,-0.204586517,2.981014653,-14.0
45,0.092807214,-0.083862664,-0.903622261,4.514347986,-13.0
46,0.092807214,-0.022716096,-0.244766496,3.814347986,-8.0
47,0.092807214,-0.164361167,-1.770995603,4.064347986,-9.0
48,0.092807214,-0.029625365,-0.319214037,3.314347986,-4.0
49,0.092807214,-0.057836879,-0.623193787,4.081014653,-4.0
50,0.092807214,-0.103570642,-1.115976205,2.214347986,1.0
51,0.092807214,-0.103150838,-1.111452812,5.014347986,-12.0
52,0.092807214,-0.058408582,-0.629353907,4.047681319,-11.0
53,0.092807214,-0.140648332,-1.515489228,2.981014653,-6.0
54,0.092807214,-0.184367211,-1.986561216,3.314347986,-5.0
55,0.092807214,-0.040184807,-0.432992281,3.847681319,0.0
56,0.092807214,0.000678758,0.007313630,3.847681319,3.0
57,0.092807214,-0.009792250,-0.105511735,3.281014653,4.0
58,0.092807214,-0.136585098,-1.471707776,4.214347986,7.0
