Hand,Max,Exploited,PctExploited,P0Vulnerability,Winnings
0,0.035241326,-0.242192768,-6.872407933,4.047681319,1.0
1,0.035241326,-0.243029583,-6.896153199,4.847681319,1.0
2,0.035241326,-0.158373385,-4.493967840,3.647681319,2.0
3,0.035241326,-0.092505851,-2.624925395,3.547681319,3.0
4,0.035241326,-0.167372369,-4.749320990,2.347681319,10.0
5,0.035241326,-0.117158226,-3.324455684,3.564347986,9.0
6,0.035241326,-0.059086445,-1.676623768,3.747681319,14.0
7,0.035241326,-0.065980350,-1.872243673,4.514347986,15.0
8,0.035241326,-0.089617165,-2.542956664,3.481014653,6.0
9,0.035241326,-0.075905419,-2.153875227,3.781014653,11.0
10,0.035241326,-0.096739128,-2.745047899,3.081014653,11.0
11,0.035241326,-0.134591345,-3.819133968,3.814347986,11.0
12,0.035241326,-0.168218048,-4.773317781,3.481014653,12.0
13,0.035241326,-0.115137520,-3.267116564,4.181014653,15.0
14,0.035241326,-0.083718526,-2.375578214,2.847681319,8.0
15,0.035241326,-0.107619454,-3.053785612,5.781014653,8.0
16,0.035241326,-0.056074524,-1.591158168,5.181014653,11.0
17,0.035241326,-0.136715970,-3.879421863,3.281014653,2.0
18,0.035241326,-0.100240979,-2.844415643,3.114347986,-1.0
19,0.035241326,-0.077140481,-2.188921085,2.714347986,4.0
20,0.035241326,-0.210428174,-5.971062903,2.914347986,-1.0
21,0.035241326,-0.136154605,-3.863492680,3.347681319,-1.0
22,0.035241326,-0.071338900,-2.024296706,3.781014653,-1.0
23,0.035241326,-0.161313469,-4.577395003,4.047681319,2.0
24,0.035241326,-0.088684153,-2.516481727,2.414347986,7.0
25,0.035241326,-0.129657872,-3.679142853,3.447681319,12.0
26,0.035241326,-0.071099989,-2.017517428,3.781014653,5.0
27,0.035241326,-0.062079057,-1.761541475,3.947681319,-2.0
28,0.035241326,-0.143020428,-4.058315750,2.997681319,-1.0
29,0.035241326,-0.074293759,-2.108143132,4.781014653,-8.0
30,0.035241326,-0.114582624,-3.251370976,2.781014653,-7.0
31,0.035241326,-0.188541505,-5.350011661,5.181014653,-6.0
32,0.035241326,-0.136902185,-3.884705836,5.681014653,-3.0
33,0.035241326,-0.052327193,-1.484824763,3.364347986,-12.0
34,0.035241326,-0.113469935,-3.219797550,4.914347986,-11.0
35,0.035241326,-0.056582552,-1.605573869,2.881014653,-14.0
36,0.035241326,-0.104759225,-2.972624403,3.914347986,-21.0
37,0.035241326,-0.076119663,-2.159954568,5.181014653,-20.0
38,0.035241326,-0.094075054,-2.669452743,3.614347986,-27.0
39,0.035241326,-0.061125438,-1.734481785,3.214347986,-27.0
40,0.035241326,-0.113648630,-3.224868149,3.647681319,-26.0
41,0.035241326,-0.116534013,-3.306743133,4.281014653,-35.0
42,0.035241326,-0.157284936,-4.463082255,4.181014653,-35.0
43,0.035241326,-0.126880546,-3.600334047,4.714347986,-32.0
44,0.035241326,-0.075267191,-2.135765014,3.247681319,-37.0
45,0.035241326,-0.101671715,-2.885013903,3.397681319,-30.0
46,0.035241326,-0.134350390,-3.812296683,2.714347986,-30.0
47,0.035241326,-0.108580845,-3.081065840,3.847681319,-35.0
48,0.035241326,-0.041727821,-1.184059327,4.014347986,-30.0
49,0.035241326,-0.223075636,-6.329944465,3.814347986,-19.0
50,0.035241326,-0.029877253,-0.847790250,4.081014653,-18.0
51,0.035241326,-0.059318755,-1.683215747,3.714347986,-13.0
52,0.035241326,-0.098088971,-2.783350739,3.714347986,-16.0
53,0.035241326,-0.110754913,-3.142756691,1.914347986,-15.0
54,0.035241326,-0.066118403,-1.876161062,4.147681319,-6.0
55,0.035241326,-0.101178916,-2.871030341,3.247681319,-3.0
56,0.035241326,-0.139263746,-3.951716986,3.081014653,2.0
57,0.035241326,-0.058225572,-1.652195828,3.447681319,1.0
58,0.035241326,-0.064578057,-1.832452541,3.564347986,1.0
59,0.035241326,-0.166955346,-4.737487641,2.197681319,0.0
60,0.035241326,-0.109036555,-3.093996938,3.514347986,0.0
61,0.035241326,-0.088486955,-2.510886090,3.814347986,9.0
62,0.035241326,-0.086779668,-2.462440495,3.547681319,22.0
63,0.035241326,-0.068159870,-1.934089273,3.214347986,23.0
64,0.035241326,-0.126703370,-3.595306544,3.347681319,26.0
65,0.035241326,-0.114534313,-3.250000105,4.514347986,27.0
66,0.035241326,-0.169854786,-4.819761503,3.647681319,16.0
67,0.035241326,-0.062235250,-1.765973564,5.947681319,21.0
68,0.035241326,-0.099491943,-2.823161171,4.547681319,30.0
69,0.035241326,-0.144575283,-4.102435955,2.214347986,25.0
70,0.035241326,-0.051747557,-1.468377127,2.947681319,26.0
71,0.035241326,-0.041986654,-1.191403916,5.047681319,27.0
72,0.035241326,-0.089943272,-2.552210219,3.014347986,30.0
73,0.035241326,-0.080616570,-2.287557800,4.081014653,29.0
74,0.035241326,-0.205567922,-5.833149476,2.497681319,30.0
75,0.035241326,-0.072163530,-2.047696211,5.447681319,19.0
76,0.035241326,-0.142421831,-4.041330103,2.881014653,10.0
77,0.035241326,-0.133101673,-3.776863374,4.014347986,11.0
78,0.035241326,-0.096937379,-2.750673444,4.514347986,4.0
79,0.035241326,-0.068060671,-1.931274409,3.881014653,5.0
80,0.035241326,-0.080902898,-2.295682587,2.847681319,8.0
81,0.035241326,-0.120974625,-3.432748973,2.981014653,3.0
82,0.035241326,-0.080911009,-2.295912723,3.747681319,4.0
83,0.035241326,-0.064172511,-1.820944854,2.347681319,7.0
84,0.035241326,-0.156132729,-4.430387479,3.614347986,12.0
85,0.035241326,-0.116256321,-3.298863424,4.914347986,-1.0
86,0.035241326,-0.102168815,-2.899119491,3.914347986,0.0
87,0.035241326,-0.115272665,-3.270951409,2.314347986,-7.0
88,0.035241326,-0.095702770,-2.715640445,2.914347986,-2.0
89,0.035241326,-0.162631864,-4.614805473,3.314347986,-7.0
90,0.035241326,-0.085698484,-2.431761055,5.814347986,-4.0
91,0.035241326,-0.102811341,-2.917351678,5.147681319,-3.0
92,0.035241326,-0.111008287,-3.149946389,4.647681319,-2.0
93,0.035241326,-0.044600145,-1.265563752,3.347681319,-1.0
94,0.035241326,-0.128216572,-3.638244848,2.614347986,0.0
95,0.035241326,-0.049013466,-1.390795170,4.281014653,1.0
96,0.035241326,-0.096679128,-2.743345353,3.714347986,10.0
97,0.035241326,-0.069498290,-1.972067971,3.047681319,13.0
98,0.035241326,-0.122898982,-3.487354095,2.781014653,13.0
99,0.035241326,-0.090109376,-2.556923536,3.614347986,13.0
100,0.035241326,-0.052080496,-1.477824532,4.514347986,14.0
