Hand,Max,Exploited,PctExploited,P0Vulnerability,Winnings
0,0.034722006,-0.058073237,-1.672519630,4.881014653,-1
1,0.034722006,-0.234080340,-6.741555717,2.081014653,-1.0
2,0.034722006,-0.061044396,-1.758089543,3.747681319,2.0
3,0.034722006,-0.079689359,-2.295067807,4.014347986,5.0
4,0.034722006,-0.085588705,-2.464970024,4.081014653,-2.0
5,0.034722006,-0.094038979,-2.708339426,4.281014653,-2.0
6,0.034722006,-0.143624731,-4.136417976,4.114347986,7.0
7,0.034722006,-0.083303796,-2.399164246,4.381014653,0.0
8,0.034722006,-0.212174320,-6.110658392,4.247681319,5.0
9,0.034722006,-0.066404395,-1.912458451,3.214347986,10.0
10,0.034722006,-0.143294873,-4.126917990,5.014347986,5.0
11,0.034722006,-0.304292392,-8.763675368,4.647681319,6.0
12,0.034722006,-0.057198074,-1.647314760,3.947681319,5.0
13,0.034722006,-0.094063213,-2.709037385,3.214347986,6.0
14,0.034722006,-0.076546162,-2.204543185,2.714347986,-3.0
15,0.034722006,-0.024245772,-0.698282566,2.281014653,-2.0
16,0.034722006,-0.127457930,-3.670811192,4.181014653,-9.0
17,0.034722006,-0.057456562,-1.654759277,3.314347986,-8.0
18,0.034722006,-0.167780978,-4.832122218,3.014347986,-1.0
19,0.034722006,-0.052131902,-1.501408125,3.614347986,2.0
20,0.034722006,-0.175080177,-5.042340454,3.547681319,3.0
21,0.034722006,-0.106116302,-3.056168491,4.547681319,6.0
22,0.034722006,-0.066870690,-1.925887831,3.914347986,7.0
23,0.034722006,-0.053236130,-1.533210090,3.214347986,8.0
24,0.034722006,-0.032186187,-0.926967938,3.547681319,9.0
25,0.034722006,-0.088046508,-2.535755198,3.581014653,16.0
26,0.034722006,-0.096300045,-2.773458542,3.014347986,11.0
27,0.034722006,-0.120066449,-3.457935222,3.414347986,8.0
28,0.034722006,-0.069429597,-1.999584826,2.581014653,9.0
29,0.034722006,-0.077481975,-2.231494756,3.281014653,6.0
30,0.034722006,-0.151427499,-4.361139094,4.481014653,6.0
31,0.034722006,-0.101868235,-2.933823411,3.247681319,7.0
32,0.034722006,-0.054137629,-1.559173398,3.681014653,12.0
33,0.034722006,-0.114944239,-3.310414668,3.147681319,13.0
34,0.034722006,-0.097723454,-2.814452976,1.714347986,6.0
35,0.034722006,-0.111641416,-3.215292765,2.347681319,9.0
36,0.034722006,-0.028783624,-0.828973522,3.664347986,22.0
37,0.034722006,-0.128688391,-3.706248703,5.147681319,19.0
38,0.034722006,-0.013748992,-0.395973437,3.864347986,28.0
39,0.034722006,-0.054613509,-1.572878834,3.614347986,27.0
40,0.034722006,-0.076982082,-2.217097756,3.614347986,32.0
41,0.034722006,-0.154625732,-4.453248769,3.014347986,23.0
42,0.034722006,-0.083245618,-2.397488693,2.831014653,24.0
43,0.034722006,-0.096244021,-2.771845029,4.847681319,24.0
44,0.034722006,-0.088395431,-2.545804226,3.947681319,23.0
45,0.034722006,-0.128183635,-3.691711633,5.014347986,30.0
46,0.034722006,-0.137983122,-3.973938618,4.814347986,31.0
47,0.034722006,-0.093543976,-2.694083245,4.081014653,32.0
48,0.034722006,-0.129872467,-3.740350291,3.514347986,35.0
49,0.034722006,-0.087987375,-2.534052152,3.347681319,40.0
50,0.034722006,-0.092361261,-2.660020842,4.281014653,37.0
51,0.034722006,-0.182427707,-5.253950623,4.314347986,30.0
52,0.034722006,-0.099558977,-2.867316352,4.714347986,39.0
53,0.034722006,-0.068937889,-1.985423533,3.381014653,42.0
54,0.034722006,-0.127790930,-3.680401666,3.414347986,43.0
55,0.034722006,-0.049480215,-1.425039041,3.547681319,48.0
56,0.034722006,-0.069537932,-2.002704883,4.147681319,49.0
57,0.034722006,-0.034856147,-1.003863265,3.714347986,52.0
58,0.034722006,-0.116360024,-3.351189536,4.347681319,49.0
59,0.034722006,-0.069205598,-1.993133606,4.347681319,54.0
60,0.034722006,-0.052247801,-1.504746036,4.214347986,54.0
61,0.034722006,-0.085403409,-2.459633463,3.781014653,55.0
62,0.034722006,-0.067982216,-1.957900002,2.931014653,50.0
63,0.034722006,-0.131369650,-3.783469441,3.131014653,59.0
64,0.034722006,-0.086742542,-2.498200745,4.381014653,46.0
65,0.034722006,-0.097214110,-2.799783780,3.964347986,43.0
66,0.034722006,-0.148325431,-4.271798961,2.114347986,52.0
67,0.034722006,-0.072288950,-2.081934708,3.114347986,45.0
68,0.034722006,-0.134721309,-3.879997834,2.997681319,46.0
69,0.034722006,-0.077154926,-2.222075682,3.981014653,47.0
70,0.034722006,-0.136354797,-3.927042571,5.581014653,48.0
71,0.034722006,-0.110234020,-3.174759503,3.114347986,47.0
72,0.034722006,-0.087594417,-2.522734900,3.647681319,47.0
73,0.034722006,-0.103374254,-2.977197012,4.347681319,50.0
74,0.034722006,-0.084361019,-2.429612455,4.647681319,51.0
75,0.034722006,-0.091302150,-2.629518261,4.847681319,56.0
76,0.034722006,-0.067812537,-1.953013194,3.347681319,61.0
77,0.034722006,-0.095130573,-2.739777534,3.847681319,68.0
78,0.034722006,-0.085990722,-2.476548200,2.981014653,71.0
79,0.034722006,-0.105503354,-3.038515497,5.214347986,72.0
80,0.034722006,-0.095350724,-2.746117910,4.314347986,73.0
81,0.034722006,-0.066070005,-1.902827985,3.481014653,66.0
82,0.034722006,-0.087017416,-2.506117161,3.247681319,71.0
83,0.034722006,-0.106538532,-3.068328788,4.047681319,64.0
84,0.034722006,-0.186919907,-5.383326780,3.931014653,59.0
85,0.034722006,-0.077849774,-2.242087432,3.181014653,50.0
86,0.034722006,-0.174241759,-5.018193869,2.497681319,43.0
87,0.034722006,-0.058895198,-1.696192255,3.414347986,48.0
88,0.034722006,-0.129636009,-3.733540270,3.747681319,48.0
89,0.034722006,-0.132346702,-3.811608724,3.481014653,48.0
90,0.034722006,-0.059200125,-1.704974197,4.647681319,49.0
91,0.034722006,-0.068787076,-1.981080104,3.514347986,46.0
92,0.034722006,-0.131702420,-3.793053266,3.681014653,47.0
93,0.034722006,-0.109898329,-3.165091555,4.447681319,42.0
94,0.034722006,-0.071818834,-2.068395270,3.181014653,43.0
95,0.034722006,-0.115279649,-3.320074526,3.881014653,44.0
96,0.034722006,-0.066592620,-1.917879365,4.914347986,37.0
97,0.034722006,-0.102222133,-2.944015732,3.414347986,38.0
98,0.034722006,-0.071828816,-2.068682752,2.947681319,41.0
99,0.034722006,-0.116037942,-3.341913520,5.014347986,34.0
100,0.034722006,-0.143112660,-4.121670237,3.381014653,25.0
101,0.034722006,-0.104874250,-3.020397186,3.881014653,26.0
102,0.034722006,-0.161994331,-4.665465733,4.481014653,26.0
103,0.034722006,-0.098278532,-2.830439317,2.881014653,27.0
104,0.034722006,-0.082177480,-2.366726140,4.197681319,30.0
105,0.034722006,-0.093199744,-2.684169316,5.581014653,31.0
106,0.034722006,-0.108672762,-3.129795002,1.497681319,44.0
107,0.034722006,-0.106975660,-3.080918171,3.781014653,49.0
108,0.034722006,-0.128507903,-3.701050623,3.397681319,54.0
109,0.034722006,-0.148417650,-4.274454903,3.114347986,55.0
110,0.034722006,-0.119280547,-3.435301105,4.347681319,56.0
111,0.034722006,-0.125000117,-3.600025750,5.014347986,43.0
112,0.034722006,-0.076250054,-2.196015222,4.647681319,44.0
113,0.034722006,-0.100691809,-2.899942138,2.781014653,45.0
114,0.034722006,-0.123584818,-3.559264878,2.514347986,36.0
115,0.034722006,-0.074176027,-2.136282872,2.731014653,36.0
116,0.034722006,-0.111097308,-3.199622372,3.781014653,39.0
117,0.034722006,-0.156476809,-4.506560122,3.031014653,48.0
118,0.034722006,-0.118202891,-3.404264420,2.681014653,53.0
119,0.034722006,-0.106135289,-3.056715333,2.481014653,40.0
120,0.034722006,-0.111390953,-3.208079378,5.347681319,39.0
121,0.034722006,-0.090957703,-2.619598129,4.647681319,39.0
122,0.034722006,-0.083089964,-2.393005828,4.114347986,32.0
123,0.034722006,-0.126436779,-3.641401863,2.847681319,23.0
124,0.034722006,-0.136426126,-3.929096854,1.581014653,26.0
125,0.034722006,-0.079489372,-2.289308134,3.747681319,29.0
126,0.034722006,-0.114014984,-3.283651966,4.847681319,29.0
127,0.034722006,-0.049001923,-1.411264169,2.914347986,38.0
128,0.034722006,-0.111502909,-3.211303744,3.281014653,41.0
129,0.034722006,-0.049069309,-1.413204876,4.381014653,46.0
130,0.034722006,-0.059213868,-1.705370003,3.147681319,46.0
131,0.034722006,-0.102099239,-2.940476355,4.114347986,51.0
132,0.034722006,-0.084448011,-2.432117826,3.547681319,56.0
133,0.034722006,-0.074756593,-2.153003271,3.314347986,47.0
134,0.034722006,-0.086279386,-2.484861753,2.531014653,40.0
135,0.034722006,-0.093135012,-2.682305020,2.847681319,39.0
136,0.034722006,-0.069164080,-1.991937895,3.247681319,42.0
137,0.034722006,-0.095166730,-2.740818859,4.247681319,45.0
138,0.034722006,-0.095214712,-2.742200744,2.664347986,46.0
139,0.034722006,-0.102934184,-2.964522925,4.947681319,47.0
140,0.034722006,-0.116232622,-3.347520331,3.014347986,44.0
141,0.034722006,-0.036446032,-1.049652234,2.014347986,37.0
142,0.034722006,-0.087046053,-2.506941907,4.647681319,40.0
143,0.034722006,-0.096471068,-2.778384027,2.214347986,41.0
144,0.034722006,-0.108706380,-3.130763208,3.814347986,46.0
145,0.034722006,-0.077455542,-2.230733488,2.647681319,47.0
146,0.034722006,-0.108495611,-3.124693011,2.547681319,40.0
147,0.034722006,-0.129923070,-3.741807678,5.547681319,49.0
148,0.034722006,-0.057145916,-1.645812617,3.714347986,40.0
149,0.034722006,-0.059526809,-1.714382745,2.331014653,33.0
150,0.034722006,-0.108167109,-3.115232111,3.447681319,26.0
151,0.034722006,-0.089549884,-2.579052685,4.814347986,19.0
152,0.034722006,-0.080931010,-2.330827592,3.447681319,18.0
153,0.034722006,-0.073884952,-2.127899856,4.381014653,21.0
154,0.034722006,-0.109963566,-3.166970376,3.681014653,21.0
155,0.034722006,-0.036615904,-1.054544605,2.281014653,14.0
156,0.034722006,-0.094571476,-2.723675455,2.647681319,17.0
157,0.034722006,-0.131381618,-3.783814123,3.781014653,12.0
158,0.034722006,-0.091786579,-2.643469915,3.647681319,13.0
159,0.034722006,-0.105011818,-3.024359146,4.647681319,18.0
160,0.034722006,-0.088086376,-2.536903389,2.814347986,27.0
161,0.034722006,-0.047861244,-1.378412395,4.047681319,24.0
162,0.034722006,-0.154913881,-4.461547501,2.714347986,25.0
163,0.034722006,-0.084582922,-2.436003308,3.481014653,18.0
164,0.034722006,-0.089005609,-2.563377469,2.781014653,19.0
165,0.034722006,-0.062776495,-1.807974291,3.281014653,20.0
166,0.034722006,-0.138720577,-3.995177464,4.481014653,13.0
167,0.034722006,-0.114766821,-3.305305004,3.514347986,14.0
168,0.034722006,-0.082336141,-2.371295590,2.814347986,15.0
169,0.034722006,-0.123860141,-3.567194245,3.814347986,16.0
170,0.034722006,-0.084528469,-2.434435048,4.214347986,19.0
171,0.034722006,-0.130278438,-3.752042331,2.864347986,19.0
172,0.034722006,-0.121550472,-3.500675351,3.164347986,24.0
173,0.034722006,-0.058943183,-1.697574227,4.114347986,29.0
174,0.034722006,-0.084416405,-2.431207588,4.414347986,32.0
175,0.034722006,-0.079018007,-2.275732763,5.014347986,35.0
176,0.034722006,-0.095688363,-2.755841985,3.797681319,32.0
177,0.034722006,-0.091875303,-2.646025168,2.847681319,33.0
178,0.034722006,-0.127355419,-3.667858864,3.547681319,20.0
179,0.034722006,-0.059105234,-1.702241325,3.581014653,13.0
180,0.034722006,-0.111487491,-3.210859715,3.781014653,16.0
181,0.034722006,-0.133250312,-3.837632831,3.647681319,17.0
182,0.034722006,-0.127417018,-3.669632920,2.114347986,20.0
183,0.034722006,-0.113750959,-3.276047972,2.547681319,29.0
184,0.034722006,-0.083025305,-2.391143658,2.814347986,20.0
185,0.034722006,-0.103665365,-2.985581061,5.681014653,20.0
186,0.034722006,-0.115936389,-3.338988772,2.614347986,21.0
187,0.034722006,-0.111069594,-3.198824185,3.914347986,18.0
188,0.034722006,-0.093903923,-2.704449809,2.881014653,25.0
189,0.034722006,-0.070544875,-2.031705019,2.781014653,26.0
190,0.034722006,-0.148724819,-4.283301420,3.331014653,27.0
191,0.034722006,-0.076434070,-2.201314912,3.831014653,26.0
192,0.034722006,-0.071441128,-2.057517270,4.914347986,29.0
193,0.034722006,-0.025353279,-0.730178960,3.914347986,18.0
194,0.034722006,-0.158065521,-4.552315309,2.831014653,17.0
195,0.034722006,-0.110007209,-3.168227327,3.831014653,18.0
196,0.034722006,-0.039292186,-1.131621996,1.847681319,23.0
197,0.034722006,-0.093157958,-2.682965860,2.747681319,24.0
198,0.034722006,-0.101840772,-2.933032456,3.547681319,19.0
199,0.034722006,-0.048082779,-1.384792647,2.681014653,10.0
