Hand,Max,Exploited,PctExploited,P0Vulnerability,Winnings
0,0.082986485,-0.123110118,-1.483495999,4.147681319,1.0
1,0.082986485,-0.162083162,-1.953127219,3.947681319,4.0
2,0.082986485,0.029814150,0.359265131,4.047681319,-1.0
3,0.082986485,-0.090855314,-1.094820613,5.147681319,0.0
4,0.082986485,0.022232459,0.267904571,3.514347986,1.0
5,0.082986485,-0.033213824,-0.400231726,5.181014653,-6.0
6,0.082986485,-0.021889219,-0.263768485,4.014347986,-13.0
7,0.082986485,0.009131397,0.110034743,3.881014653,-22.0
8,0.082986485,0.029237488,0.352316258,1.914347986,-23.0
9,0.082986485,-0.051666071,-0.622584163,4.114347986,-18.0
10,0.082986485,-0.003062286,-0.036901024,4.414347986,-17.0
11,0.082986485,0.003518163,0.042394408,3.414347986,-16.0
12,0.082986485,-0.053245872,-0.641621015,3.414347986,-25.0
13,0.082986485,0.007527951,0.090712977,5.381014653,-24.0
14,0.082986485,-0.048046307,-0.578965445,4.314347986,-23.0
15,0.082986485,0.005036404,0.060689444,3.414347986,-32.0
16,0.082986485,0.026394825,0.318061737,4.247681319,-31.0
17,0.082986485,0.024262206,0.292363339,4.281014653,-31.0
18,0.082986485,0.005047610,0.060824483,3.747681319,-28.0
19,0.082986485,0.005982634,0.072091665,2.514347986,-27.0
20,0.082986485,-0.018595639,-0.224080327,4.014347986,-24.0
21,0.082986485,0.018982937,0.228747337,3.114347986,-33.0
22,0.082986485,-0.136500793,-1.644855712,5.381014653,-32.0
23,0.082986485,0.037156792,0.447745105,3.081014653,-31.0
24,0.082986485,-0.008404645,-0.101277272,4.114347986,-32.0
25,0.082986485,-0.099337694,-1.197034612,4.014347986,-32.0
26,0.082986485,0.031256759,0.376648789,4.347681319,-27.0
27,0.082986485,0.007870355,0.094838997,3.847681319,-26.0
28,0.082986485,0.030843482,0.371668740,2.564347986,-21.0
29,0.082986485,-0.007634839,-0.092000990,3.464347986,-12.0
30,0.082986485,-0.063205436,-0.761635297,2.947681319,-11.0
31,0.082986485,-0.003123916,-0.037643669,4.414347986,-8.0
32,0.082986485,0.019620216,0.236426649,3.947681319,-7.0
33,0.082986485,0.012146003,0.146361224,3.864347986,-6.0
34,0.082986485,0.039740585,0.478880212,2.214347986,-13.0
35,0.082986485,-0.003938878,-0.047464085,4.764347986,-22.0
36,0.082986485,-0.029807658,-0.359186893,3.781014653,-17.0
37,0.082986485,-0.037028170,-0.446195187,2.747681319,-20.0
38,0.082986485,-0.036629255,-0.441388201,3.814347986,-20.0
39,0.082986485,0.008466185,0.102018842,3.397681319,-17.0
