Hand,Max,Exploited,PctExploited,P0Vulnerability,Winnings
0,0.085475354,-0.120945940,-1.414980279,3.247681319,-1
1,0.085475354,-0.241554836,-2.826017401,5.581014653,0.0
2,0.085475354,-0.255187542,-2.985510232,4.647681319,3.0
3,0.085475354,-0.183919906,-2.151730278,2.814347986,8.0
4,0.085475354,-0.223898001,-2.619445160,4.297681319,13.0
5,0.085475354,-0.137909817,-1.613445415,4.397681319,2.0
6,0.085475354,-0.267981380,-3.135188910,3.547681319,-1.0
7,0.085475354,-0.101671525,-1.189483529,3.747681319,-2.0
8,0.085475354,-0.280162279,-3.277696635,3.814347986,1.0
9,0.085475354,-0.244805035,-2.864042378,5.181014653,10.0
10,0.085475354,-0.256735224,-3.003616994,5.314347986,11.0
11,0.085475354,-0.229967722,-2.690456523,4.014347986,14.0
12,0.085475354,-0.292437154,-3.421303830,3.881014653,14.0
13,0.085475354,-0.181259910,-2.120610237,4.014347986,19.0
14,0.085475354,-0.266212388,-3.114492973,3.081014653,12.0
15,0.085475354,-0.108124571,-1.264979514,2.781014653,9.0
16,0.085475354,-0.141587587,-1.656472675,3.481014653,2.0
17,0.085475354,-0.273218878,-3.196463861,3.247681319,5.0
18,0.085475354,-0.230635438,-2.698268316,3.714347986,10.0
19,0.085475354,-0.201630014,-2.358925769,2.847681319,11.0
20,0.085475354,-0.275267448,-3.220430651,5.314347986,11.0
21,0.085475354,-0.208295016,-2.436901484,4.014347986,16.0
22,0.085475354,-0.157126602,-1.838267936,2.947681319,11.0
23,0.085475354,-0.116090164,-1.358171205,2.347681319,14.0
24,0.085475354,-0.312219642,-3.652744670,3.714347986,1.0
25,0.085475354,-0.290944200,-3.403837340,3.981014653,-4.0
26,0.085475354,-0.262304985,-3.068779176,3.714347986,-1.0
27,0.085475354,-0.305203517,-3.570661067,3.197681319,-10.0
28,0.085475354,-0.195611944,-2.288518690,4.881014653,-19.0
29,0.085475354,-0.223939196,-2.619927109,4.814347986,-18.0
30,0.085475354,-0.288941966,-3.380412642,2.914347986,-11.0
31,0.085475354,-0.186612690,-2.183233911,4.481014653,-20.0
32,0.085475354,-0.197413358,-2.309593929,3.714347986,-20.0
33,0.085475354,-0.209704572,-2.453392280,3.647681319,-19.0
34,0.085475354,-0.299046240,-3.498625365,3.531014653,-16.0
35,0.085475354,-0.342297424,-4.004633029,4.614347986,-13.0
36,0.085475354,-0.250266363,-2.927935984,2.647681319,-13.0
37,0.085475354,-0.241245552,-2.822398998,3.481014653,-10.0
38,0.085475354,-0.213912240,-2.502618961,3.347681319,-13.0
39,0.085475354,-0.194179608,-2.271761392,3.714347986,-6.0
40,0.085475354,-0.185276884,-2.167605936,4.247681319,-11.0
