Hand,PotentialExploitability,Exploited,PctExploited,P0Vulnerability,Winnings
0,0.099064793,0.012442387,0.125598475,2.514347986,-5
1,0.099064793,0.000037922,0.000382795,1.814347986,-12
2,0.099064793,-0.039585573,-0.399592755,2.714347986,-7.0
3,0.099064793,-0.039585573,-0.399592755,2.714347986,-4.0
4,0.099064793,0.093045834,0.939242204,1.847681319,-11.0
5,0.099064793,-0.158275437,-1.597696136,4.514347986,-8.0
6,0.099064793,0.093045834,0.939242204,1.847681319,-7.0
7,0.099064793,-0.158275437,-1.597696136,4.514347986,-18.0
8,0.099064793,-0.158275437,-1.597696136,4.514347986,-31.0
9,0.099064793,0.012442387,0.125598475,2.514347986,-40.0
10,0.099064793,-0.039585573,-0.399592755,2.714347986,-41.0
11,0.099064793,-0.158275437,-1.597696136,4.514347986,-41.0
12,0.099064793,0.012442387,0.125598475,2.514347986,-36.0
13,0.099064793,-0.039585573,-0.399592755,2.714347986,-41.0
14,0.099064793,-0.039585573,-0.399592755,2.714347986,-38.0
15,0.099064793,0.000037922,0.000382795,1.814347986,-37.0
16,0.099064793,0.012442387,0.125598475,2.514347986,-38.0
17,0.099064793,-0.158275437,-1.597696136,4.514347986,-38.0
18,0.099064793,-0.158275437,-1.597696136,4.514347986,-43.0
19,0.099064793,0.093045834,0.939242204,1.847681319,-42.0
20,0.099064793,0.012442387,0.125598475,2.514347986,-39.0
21,0.099064793,0.012442387,0.125598475,2.514347986,-32.0
22,0.099064793,-0.158275437,-1.597696136,4.514347986,-31.0
23,0.099064793,0.000037922,0.000382795,1.814347986,-40.0
24,0.099064793,0.093045834,0.939242204,1.847681319,-41.0
25,0.099064793,0.093045834,0.939242204,1.847681319,-34.0
26,0.099064793,0.012442387,0.125598475,2.514347986,-31.0
27,0.099064793,0.000037922,0.000382795,1.814347986,-31.0
28,0.099064793,0.012442387,0.125598475,2.514347986,-32.0
29,0.099064793,-0.158275437,-1.597696136,4.514347986,-33.0
30,0.099064793,0.000037922,0.000382795,1.814347986,-32.0
31,0.099064793,0.000037922,0.000382795,1.814347986,-33.0
32,0.099064793,-0.039585573,-0.399592755,2.714347986,-33.0
33,0.099064793,0.000037922,0.000382795,1.814347986,-33.0
34,0.099064793,-0.158275437,-1.597696136,4.514347986,-28.0
35,0.099064793,0.093045834,0.939242204,1.847681319,-23.0
36,0.099064793,0.093045834,0.939242204,1.847681319,-26.0
37,0.099064793,-0.158275437,-1.597696136,4.514347986,-25.0
38,0.099064793,-0.039585573,-0.399592755,2.714347986,-24.0
39,0.099064793,-0.158275437,-1.597696136,4.514347986,-24.0
40,0.099064793,0.000037922,0.000382795,1.814347986,-33.0
41,0.099064793,0.000037922,0.000382795,1.814347986,-33.0
42,0.099064793,0.012442387,0.125598475,2.514347986,-32.0
43,0.099064793,0.093045834,0.939242204,1.847681319,-33.0
44,0.099064793,0.000037922,0.000382795,1.814347986,-32.0
45,0.099064793,-0.039585573,-0.399592755,2.714347986,-31.0
46,0.099064793,0.000037922,0.000382795,1.814347986,-26.0
47,0.099064793,-0.039585573,-0.399592755,2.714347986,-26.0
48,0.099064793,-0.158275437,-1.597696136,4.514347986,-33.0
49,0.099064793,0.000037922,0.000382795,1.814347986,-28.0
50,0.099064793,-0.158275437,-1.597696136,4.514347986,-29.0
51,0.099064793,0.000037922,0.000382795,1.814347986,-34.0
52,0.099064793,-0.158275437,-1.597696136,4.514347986,-35.0
53,0.099064793,0.093045834,0.939242204,1.847681319,-44.0
54,0.099064793,0.000037922,0.000382795,1.814347986,-43.0
55,0.099064793,-0.039585573,-0.399592755,2.714347986,-38.0
56,0.099064793,0.012442387,0.125598475,2.514347986,-45.0
57,0.099064793,-0.039585573,-0.399592755,2.714347986,-48.0
58,0.099064793,-0.158275437,-1.597696136,4.514347986,-48.0
59,0.099064793,-0.158275437,-1.597696136,4.514347986,-48.0
60,0.099064793,0.000037922,0.000382795,1.814347986,-48.0
61,0.099064793,-0.158275437,-1.597696136,4.514347986,-49.0
62,0.099064793,0.012442387,0.125598475,2.514347986,-49.0
63,0.099064793,0.012442387,0.125598475,2.514347986,-49.0
64,0.099064793,0.012442387,0.125598475,2.514347986,-50.0
65,0.099064793,0.000037922,0.000382795,1.814347986,-53.0
66,0.099064793,0.093045834,0.939242204,1.847681319,-52.0
67,0.099064793,0.012442387,0.125598475,2.514347986,-41.0
68,0.099064793,0.012442387,0.125598475,2.514347986,-42.0
69,0.099064793,0.000037922,0.000382795,1.814347986,-43.0
70,0.099064793,0.000037922,0.000382795,1.814347986,-42.0
71,0.099064793,0.000037922,0.000382795,1.814347986,-41.0
72,0.099064793,0.012442387,0.125598475,2.514347986,-41.0
73,0.099064793,0.000037922,0.000382795,1.814347986,-42.0
74,0.099064793,0.000037922,0.000382795,1.814347986,-43.0
75,0.099064793,0.093045834,0.939242204,1.847681319,-44.0
