Hand,PotentialExploitability,Exploited,PctExploited,P0Vulnerability,Winnings
0,0.051697076,-0.019494079,-0.377082817,4.514347986,0.0
1,0.051697076,-0.019494079,-0.377082817,4.514347986,-9.0
2,0.051697076,-0.067145757,-1.298830852,1.847681319,-8.0
3,0.051697076,0.000588968,0.011392680,1.814347986,-13.0
4,0.051697076,0.000588968,0.011392680,1.814347986,-12.0
5,0.051697076,0.000588968,0.011392680,1.814347986,-17.0
6,0.051697076,-0.070322950,-1.360288746,2.714347986,-18.0
7,0.051697076,0.010134965,0.196045232,2.514347986,-18.0
8,0.051697076,-0.070322950,-1.360288746,2.714347986,-19.0
9,0.051697076,-0.070322950,-1.360288746,2.714347986,-18.0
10,0.051697076,-0.067145757,-1.298830852,1.847681319,-13.0
11,0.051697076,0.010134965,0.196045232,2.514347986,-13.0
12,0.051697076,-0.019494079,-0.377082817,4.514347986,-6.0
13,0.051697076,-0.067145757,-1.298830852,1.847681319,-15.0
14,0.051697076,-0.019494079,-0.377082817,4.514347986,-15.0
15,0.051697076,-0.070322950,-1.360288746,2.714347986,-24.0
16,0.051697076,0.010134965,0.196045232,2.514347986,-15.0
17,0.051697076,0.010134965,0.196045232,2.514347986,-16.0
18,0.051697076,0.010134965,0.196045232,2.514347986,-15.0
19,0.051697076,0.010134965,0.196045232,2.514347986,-14.0
20,0.051697076,0.000588968,0.011392680,1.814347986,-15.0
21,0.051697076,0.000588968,0.011392680,1.814347986,-10.0
22,0.051697076,-0.070322950,-1.360288746,2.714347986,-11.0
23,0.051697076,0.010134965,0.196045232,2.514347986,-11.0
24,0.051697076,0.000588968,0.011392680,1.814347986,-12.0
25,0.051697076,0.010134965,0.196045232,2.514347986,-12.0
26,0.051697076,0.000588968,0.011392680,1.814347986,-12.0
27,0.051697076,-0.019494079,-0.377082817,4.514347986,-13.0
28,0.051697076,-0.067145757,-1.298830852,1.847681319,-13.0
29,0.051697076,0.010134965,0.196045232,2.514347986,-12.0
30,0.051697076,0.010134965,0.196045232,2.514347986,-9.0
31,0.051697076,0.010134965,0.196045232,2.514347986,-6.0
32,0.051697076,-0.067145757,-1.298830852,1.847681319,-3.0
33,0.051697076,-0.019494079,-0.377082817,4.514347986,-2.0
34,0.051697076,0.010134965,0.196045232,2.514347986,-1.0
35,0.051697076,0.010134965,0.196045232,2.514347986,-4.0
36,0.051697076,-0.019494079,-0.377082817,4.514347986,-5.0
37,0.051697076,0.000588968,0.011392680,1.814347986,4.0
38,0.051697076,-0.070322950,-1.360288746,2.714347986,-1.0
39,0.051697076,0.000588968,0.011392680,1.814347986,0.0
40,0.051697076,-0.070322950,-1.360288746,2.714347986,-5.0
41,0.051697076,-0.019494079,-0.377082817,4.514347986,-12.0
42,0.051697076,-0.019494079,-0.377082817,4.514347986,-7.0
43,0.051697076,-0.019494079,-0.377082817,4.514347986,2.0
44,0.051697076,-0.019494079,-0.377082817,4.514347986,11.0
45,0.051697076,-0.019494079,-0.377082817,4.514347986,11.0
46,0.051697076,0.000588968,0.011392680,1.814347986,16.0
47,0.051697076,-0.019494079,-0.377082817,4.514347986,16.0
48,0.051697076,0.010134965,0.196045232,2.514347986,19.0
49,0.051697076,-0.019494079,-0.377082817,4.514347986,18.0
50,0.051697076,-0.019494079,-0.377082817,4.514347986,23.0
51,0.051697076,0.000588968,0.011392680,1.814347986,28.0
52,0.051697076,-0.019494079,-0.377082817,4.514347986,23.0
53,0.051697076,-0.019494079,-0.377082817,4.514347986,14.0
54,0.051697076,-0.019494079,-0.377082817,4.514347986,15.0
55,0.051697076,-0.019494079,-0.377082817,4.514347986,16.0
56,0.051697076,-0.070322950,-1.360288746,2.714347986,25.0
57,0.051697076,0.000588968,0.011392680,1.814347986,12.0
58,0.051697076,0.000588968,0.011392680,1.814347986,11.0
59,0.051697076,-0.019494079,-0.377082817,4.514347986,10.0
60,0.051697076,0.000588968,0.011392680,1.814347986,1.0
61,0.051697076,-0.067145757,-1.298830852,1.847681319,-6.0
62,0.051697076,-0.019494079,-0.377082817,4.514347986,-5.0
63,0.051697076,0.000588968,0.011392680,1.814347986,-6.0
64,0.051697076,-0.019494079,-0.377082817,4.514347986,-7.0
65,0.051697076,-0.019494079,-0.377082817,4.514347986,-6.0
66,0.051697076,-0.019494079,-0.377082817,4.514347986,-1.0
67,0.051697076,0.000588968,0.011392680,1.814347986,-6.0
68,0.051697076,-0.019494079,-0.377082817,4.514347986,-5.0
69,0.051697076,0.000588968,0.011392680,1.814347986,0.0
70,0.051697076,-0.019494079,-0.377082817,4.514347986,-3.0
71,0.051697076,-0.019494079,-0.377082817,4.514347986,-4.0
72,0.051697076,-0.019494079,-0.377082817,4.514347986,-3.0
73,0.051697076,-0.019494079,-0.377082817,4.514347986,-12.0
74,0.051697076,-0.019494079,-0.377082817,4.514347986,-7.0
75,0.051697076,-0.019494079,-0.377082817,4.514347986,-2.0
76,0.051697076,-0.019494079,-0.377082817,4.514347986,-1.0
77,0.051697076,-0.019494079,-0.377082817,4.514347986,-10.0
78,0.051697076,-0.019494079,-0.377082817,4.514347986,-9.0
79,0.051697076,-0.019494079,-0.377082817,4.514347986,-18.0
80,0.051697076,-0.019494079,-0.377082817,4.514347986,-27.0
81,0.051697076,-0.019494079,-0.377082817,4.514347986,-27.0
82,0.051697076,-0.019494079,-0.377082817,4.514347986,-18.0
83,0.051697076,0.000588968,0.011392680,1.814347986,-27.0
84,0.051697076,-0.019494079,-0.377082817,4.514347986,-22.0
85,0.051697076,0.000588968,0.011392680,1.814347986,-35.0
86,0.051697076,-0.019494079,-0.377082817,4.514347986,-35.0
87,0.051697076,-0.019494079,-0.377082817,4.514347986,-40.0
88,0.051697076,0.000588968,0.011392680,1.814347986,-49.0
89,0.051697076,-0.019494079,-0.377082817,4.514347986,-46.0
90,0.051697076,-0.019494079,-0.377082817,4.514347986,-47.0
91,0.051697076,-0.019494079,-0.377082817,4.514347986,-42.0
92,0.051697076,-0.019494079,-0.377082817,4.514347986,-37.0
93,0.051697076,-0.019494079,-0.377082817,4.514347986,-34.0
94,0.051697076,0.000588968,0.011392680,1.814347986,-43.0
95,0.051697076,0.000588968,0.011392680,1.814347986,-42.0
96,0.051697076,-0.070322950,-1.360288746,2.714347986,-42.0
97,0.051697076,-0.019494079,-0.377082817,4.514347986,-41.0
98,0.051697076,0.000588968,0.011392680,1.814347986,-40.0
99,0.051697076,-0.019494079,-0.377082817,4.514347986,-41.0
100,0.051697076,-0.019494079,-0.377082817,4.514347986,-32.0
101,0.051697076,0.000588968,0.011392680,1.814347986,-41.0
102,0.051697076,0.000588968,0.011392680,1.814347986,-42.0
103,0.051697076,0.000588968,0.011392680,1.814347986,-33.0
104,0.051697076,-0.019494079,-0.377082817,4.514347986,-28.0
105,0.051697076,-0.019494079,-0.377082817,4.514347986,-28.0
106,0.051697076,0.000588968,0.011392680,1.814347986,-19.0
107,0.051697076,-0.019494079,-0.377082817,4.514347986,-14.0
108,0.051697076,-0.019494079,-0.377082817,4.514347986,-13.0
109,0.051697076,0.000588968,0.011392680,1.814347986,-22.0
110,0.051697076,-0.019494079,-0.377082817,4.514347986,-21.0
111,0.051697076,0.000588968,0.011392680,1.814347986,-20.0
112,0.051697076,-0.019494079,-0.377082817,4.514347986,-19.0
113,0.051697076,-0.019494079,-0.377082817,4.514347986,-8.0
114,0.051697076,0.000588968,0.011392680,1.814347986,-13.0
115,0.051697076,0.000588968,0.011392680,1.814347986,-8.0
116,0.051697076,-0.019494079,-0.377082817,4.514347986,-7.0
117,0.051697076,-0.019494079,-0.377082817,4.514347986,-20.0
118,0.051697076,-0.019494079,-0.377082817,4.514347986,-23.0
119,0.051697076,-0.019494079,-0.377082817,4.514347986,-32.0
120,0.051697076,-0.019494079,-0.377082817,4.514347986,-31.0
121,0.051697076,-0.019494079,-0.377082817,4.514347986,-40.0
122,0.051697076,-0.019494079,-0.377082817,4.514347986,-35.0
123,0.051697076,-0.019494079,-0.377082817,4.514347986,-30.0
124,0.051697076,-0.019494079,-0.377082817,4.514347986,-27.0
125,0.051697076,-0.019494079,-0.377082817,4.514347986,-22.0
126,0.051697076,-0.019494079,-0.377082817,4.514347986,-13.0
127,0.051697076,-0.019494079,-0.377082817,4.514347986,-10.0
128,0.051697076,0.000588968,0.011392680,1.814347986,-1.0
129,0.051697076,-0.019494079,-0.377082817,4.514347986,4.0
130,0.051697076,0.000588968,0.011392680,1.814347986,4.0
131,0.051697076,-0.019494079,-0.377082817,4.514347986,3.0
132,0.051697076,-0.019494079,-0.377082817,4.514347986,8.0
133,0.051697076,-0.019494079,-0.377082817,4.514347986,7.0
134,0.051697076,-0.019494079,-0.377082817,4.514347986,8.0
135,0.051697076,-0.019494079,-0.377082817,4.514347986,3.0
136,0.051697076,-0.019494079,-0.377082817,4.514347986,3.0
137,0.051697076,-0.019494079,-0.377082817,4.514347986,-6.0
