Hand,PotentialExploitability,Exploited,PctExploited,P0Vulnerability,Winnings
87,0.034517061,-0.061573243,-1.783849513,1.847681319,-52.0
88,0.034517061,-0.064463605,-1.867586716,4.514347986,-51.0
89,0.034517061,0.000980386,0.028402950,1.814347986,-50.0
90,0.034517061,-0.064463605,-1.867586716,4.514347986,-49.0
91,0.034517061,-0.061573243,-1.783849513,1.847681319,-58.0
92,0.034517061,-0.064463605,-1.867586716,4.514347986,-57.0
93,0.034517061,-0.064463605,-1.867586716,4.514347986,-57.0
94,0.034517061,0.000980386,0.028402950,1.814347986,-52.0
95,0.034517061,-0.064463605,-1.867586716,4.514347986,-51.0
96,0.034517061,-0.064463605,-1.867586716,4.514347986,-52.0
97,0.034517061,-0.064463605,-1.867586716,4.514347986,-61.0
98,0.034517061,-0.064463605,-1.867586716,4.514347986,-52.0
99,0.034517061,-0.064463605,-1.867586716,4.514347986,-51.0
100,0.034517061,-0.061573243,-1.783849513,1.847681319,-46.0
101,0.034517061,-0.064463605,-1.867586716,4.514347986,-55.0
102,0.034517061,0.000980386,0.028402950,1.814347986,-68.0
103,0.034517061,-0.064463605,-1.867586716,4.514347986,-63.0
104,0.034517061,0.000980386,0.028402950,1.814347986,-72.0
105,0.034517061,-0.107274001,-3.107854390,2.714347986,-73.0
106,0.034517061,-0.064463605,-1.867586716,4.514347986,-82.0
107,0.034517061,0.000980386,0.028402950,1.814347986,-95.0
108,0.034517061,-0.064463605,-1.867586716,4.514347986,-90.0
109,0.034517061,-0.064463605,-1.867586716,4.514347986,-85.0
110,0.034517061,-0.064463605,-1.867586716,4.514347986,-84.0
111,0.034517061,-0.107274001,-3.107854390,2.714347986,-83.0
112,0.034517061,0.000980386,0.028402950,1.814347986,-76.0
113,0.034517061,-0.064463605,-1.867586716,4.514347986,-77.0
114,0.034517061,-0.064463605,-1.867586716,4.514347986,-72.0
115,0.034517061,-0.061573243,-1.783849513,1.847681319,-67.0
116,0.034517061,0.000980386,0.028402950,1.814347986,-68.0
117,0.034517061,-0.064463605,-1.867586716,4.514347986,-69.0
118,0.034517061,0.000980386,0.028402950,1.814347986,-82.0
119,0.034517061,-0.064463605,-1.867586716,4.514347986,-83.0
120,0.034517061,-0.064463605,-1.867586716,4.514347986,-78.0
121,0.034517061,0.000980386,0.028402950,1.814347986,-73.0
122,0.034517061,-0.064463605,-1.867586716,4.514347986,-72.0
123,0.034517061,-0.064463605,-1.867586716,4.514347986,-71.0
124,0.034517061,-0.064463605,-1.867586716,4.514347986,-66.0
125,0.034517061,0.000980386,0.028402950,1.814347986,-66.0
126,0.034517061,-0.064463605,-1.867586716,4.514347986,-71.0
127,0.034517061,0.000980386,0.028402950,1.814347986,-66.0
128,0.034517061,-0.061573243,-1.783849513,1.847681319,-67.0
129,0.034517061,0.000980386,0.028402950,1.814347986,-60.0
130,0.034517061,-0.064463605,-1.867586716,4.514347986,-60.0
131,0.034517061,0.000980386,0.028402950,1.814347986,-59.0
132,0.034517061,-0.107274001,-3.107854390,2.714347986,-58.0
133,0.034517061,-0.064463605,-1.867586716,4.514347986,-55.0
134,0.034517061,-0.064463605,-1.867586716,4.514347986,-52.0
135,0.034517061,-0.064463605,-1.867586716,4.514347986,-61.0
136,0.034517061,-0.064463605,-1.867586716,4.514347986,-62.0
137,0.034517061,0.000980386,0.028402950,1.814347986,-62.0
138,0.034517061,-0.064463605,-1.867586716,4.514347986,-63.0
139,0.034517061,-0.064463605,-1.867586716,4.514347986,-62.0
140,0.034517061,0.000980386,0.028402950,1.814347986,-71.0
141,0.034517061,0.000980386,0.028402950,1.814347986,-71.0
142,0.034517061,0.000980386,0.028402950,1.814347986,-76.0
143,0.034517061,-0.064463605,-1.867586716,4.514347986,-77.0
144,0.034517061,-0.064463605,-1.867586716,4.514347986,-80.0
145,0.034517061,-0.064463605,-1.867586716,4.514347986,-77.0
146,0.034517061,-0.064463605,-1.867586716,4.514347986,-76.0
147,0.034517061,-0.064463605,-1.867586716,4.514347986,-73.0
148,0.034517061,-0.064463605,-1.867586716,4.514347986,-82.0
149,0.034517061,0.000980386,0.028402950,1.814347986,-91.0
150,0.034517061,-0.064463605,-1.867586716,4.514347986,-92.0
151,0.034517061,-0.064463605,-1.867586716,4.514347986,-91.0
152,0.034517061,0.000980386,0.028402950,1.814347986,-90.0
153,0.034517061,0.000980386,0.028402950,1.814347986,-95.0
154,0.034517061,-0.064463605,-1.867586716,4.514347986,-96.0
155,0.034517061,-0.064463605,-1.867586716,4.514347986,-91.0
156,0.034517061,-0.064463605,-1.867586716,4.514347986,-86.0
157,0.034517061,0.019715372,0.571177604,2.514347986,-85.0
158,0.034517061,0.000980386,0.028402950,1.814347986,-82.0
159,0.034517061,-0.107274001,-3.107854390,2.714347986,-82.0
160,0.034517061,-0.064463605,-1.867586716,4.514347986,-77.0
161,0.034517061,-0.064463605,-1.867586716,4.514347986,-76.0
162,0.034517061,0.000980386,0.028402950,1.814347986,-71.0
163,0.034517061,0.000980386,0.028402950,1.814347986,-72.0
164,0.034517061,-0.064463605,-1.867586716,4.514347986,-71.0
165,0.034517061,-0.064463605,-1.867586716,4.514347986,-70.0
166,0.034517061,-0.064463605,-1.867586716,4.514347986,-65.0
167,0.034517061,-0.064463605,-1.867586716,4.514347986,-56.0
168,0.034517061,-0.064463605,-1.867586716,4.514347986,-55.0
169,0.034517061,-0.064463605,-1.867586716,4.514347986,-64.0
170,0.034517061,0.000980386,0.028402950,1.814347986,-63.0
171,0.034517061,-0.107274001,-3.107854390,2.714347986,-64.0
172,0.034517061,-0.064463605,-1.867586716,4.514347986,-64.0
173,0.034517061,-0.064463605,-1.867586716,4.514347986,-73.0
174,0.034517061,0.000980386,0.028402950,1.814347986,-76.0
175,0.034517061,-0.064463605,-1.867586716,4.514347986,-76.0
176,0.034517061,0.000980386,0.028402950,1.814347986,-63.0
177,0.034517061,-0.064463605,-1.867586716,4.514347986,-63.0
178,0.034517061,0.000980386,0.028402950,1.814347986,-63.0
179,0.034517061,0.000980386,0.028402950,1.814347986,-62.0
180,0.034517061,-0.064463605,-1.867586716,4.514347986,-63.0
181,0.034517061,0.000980386,0.028402950,1.814347986,-60.0
182,0.034517061,0.019715372,0.571177604,2.514347986,-51.0
183,0.034517061,0.000980386,0.028402950,1.814347986,-52.0
184,0.034517061,0.000980386,0.028402950,1.814347986,-53.0
185,0.034517061,-0.061573243,-1.783849513,1.847681319,-50.0
186,0.034517061,0.000980386,0.028402950,1.814347986,-51.0
187,0.034517061,0.000980386,0.028402950,1.814347986,-50.0
188,0.034517061,0.000980386,0.028402950,1.814347986,-51.0
189,0.034517061,-0.064463605,-1.867586716,4.514347986,-52.0
190,0.034517061,-0.064463605,-1.867586716,4.514347986,-47.0
191,0.034517061,0.000980386,0.028402950,1.814347986,-50.0
192,0.034517061,-0.064463605,-1.867586716,4.514347986,-51.0
193,0.034517061,-0.064463605,-1.867586716,4.514347986,-46.0
194,0.034517061,-0.061573243,-1.783849513,1.847681319,-55.0
195,0.034517061,-0.064463605,-1.867586716,4.514347986,-58.0
196,0.034517061,0.000980386,0.028402950,1.814347986,-57.0
197,0.034517061,0.000980386,0.028402950,1.814347986,-66.0
198,0.034517061,-0.064463605,-1.867586716,4.514347986,-66.0
199,0.034517061,0.000980386,0.028402950,1.814347986,-75.0
