Hand,PotentialExploitability,Exploited,PctExploited,P0Vulnerability,Winnings
0,0.062639010,0.048597058,0.775827359,1.847681319,1.0
1,0.062639010,-0.216743426,-3.460198785,4.514347986,4.0
2,0.062639010,0.039313384,0.627618219,2.514347986,5.0
3,0.062639010,-0.216743426,-3.460198785,4.514347986,5.0
4,0.062639010,-0.216743426,-3.460198785,4.514347986,-4.0
5,0.062639010,-0.216743426,-3.460198785,4.514347986,-4.0
6,0.062639010,-0.145384375,-2.320987758,2.714347986,-13.0
7,0.062639010,-0.216743426,-3.460198785,4.514347986,-18.0
8,0.062639010,-0.216743426,-3.460198785,4.514347986,-17.0
9,0.062639010,0.048597058,0.775827359,1.847681319,-17.0
10,0.062639010,0.039313384,0.627618219,2.514347986,-17.0
11,0.062639010,-0.145384375,-2.320987758,2.714347986,-17.0
12,0.062639010,0.000016549,0.000264200,1.814347986,-24.0
13,0.062639010,-0.145384375,-2.320987758,2.714347986,-33.0
14,0.062639010,-0.216743426,-3.460198785,4.514347986,-30.0
15,0.062639010,0.048597058,0.775827359,1.847681319,-29.0
16,0.062639010,0.039313384,0.627618219,2.514347986,-29.0
17,0.062639010,0.039313384,0.627618219,2.514347986,-32.0
18,0.062639010,0.048597058,0.775827359,1.847681319,-33.0
19,0.062639010,0.039313384,0.627618219,2.514347986,-30.0
20,0.062639010,0.048597058,0.775827359,1.847681319,-30.0
21,0.062639010,0.000016549,0.000264200,1.814347986,-33.0
22,0.062639010,0.048597058,0.775827359,1.847681319,-28.0
23,0.062639010,0.000016549,0.000264200,1.814347986,-28.0
24,0.062639010,-0.145384375,-2.320987758,2.714347986,-29.0
25,0.062639010,0.000016549,0.000264200,1.814347986,-36.0
26,0.062639010,0.039313384,0.627618219,2.514347986,-37.0
27,0.062639010,0.048597058,0.775827359,1.847681319,-38.0
28,0.062639010,-0.216743426,-3.460198785,4.514347986,-47.0
29,0.062639010,0.039313384,0.627618219,2.514347986,-47.0
30,0.062639010,0.039313384,0.627618219,2.514347986,-47.0
31,0.062639010,0.000016549,0.000264200,1.814347986,-48.0
32,0.062639010,0.039313384,0.627618219,2.514347986,-57.0
33,0.062639010,0.000016549,0.000264200,1.814347986,-57.0
34,0.062639010,0.048597058,0.775827359,1.847681319,-58.0
35,0.062639010,0.000016549,0.000264200,1.814347986,-61.0
36,0.062639010,-0.216743426,-3.460198785,4.514347986,-62.0
37,0.062639010,0.000016549,0.000264200,1.814347986,-71.0
38,0.062639010,-0.216743426,-3.460198785,4.514347986,-70.0
39,0.062639010,0.048597058,0.775827359,1.847681319,-79.0
40,0.062639010,0.000016549,0.000264200,1.814347986,-68.0
41,0.062639010,0.048597058,0.775827359,1.847681319,-69.0
42,0.062639010,0.048597058,0.775827359,1.847681319,-62.0
43,0.062639010,0.000016549,0.000264200,1.814347986,-61.0
44,0.062639010,0.039313384,0.627618219,2.514347986,-62.0
45,0.062639010,0.000016549,0.000264200,1.814347986,-63.0
46,0.062639010,-0.145384375,-2.320987758,2.714347986,-68.0
47,0.062639010,-0.145384375,-2.320987758,2.714347986,-67.0
48,0.062639010,0.039313384,0.627618219,2.514347986,-67.0
49,0.062639010,-0.145384375,-2.320987758,2.714347986,-67.0
50,0.062639010,0.000016549,0.000264200,1.814347986,-76.0
51,0.062639010,0.039313384,0.627618219,2.514347986,-81.0
52,0.062639010,0.000016549,0.000264200,1.814347986,-82.0
53,0.062639010,0.048597058,0.775827359,1.847681319,-77.0
54,0.062639010,0.048597058,0.775827359,1.847681319,-76.0
55,0.062639010,0.048597058,0.775827359,1.847681319,-76.0
56,0.062639010,0.048597058,0.775827359,1.847681319,-85.0
57,0.062639010,0.048597058,0.775827359,1.847681319,-84.0
58,0.062639010,-0.145384375,-2.320987758,2.714347986,-95.0
59,0.062639010,0.039313384,0.627618219,2.514347986,-92.0
60,0.062639010,0.000016549,0.000264200,1.814347986,-91.0
61,0.062639010,0.039313384,0.627618219,2.514347986,-90.0
62,0.062639010,-0.216743426,-3.460198785,4.514347986,-90.0
63,0.062639010,0.048597058,0.775827359,1.847681319,-89.0
64,0.062639010,-0.216743426,-3.460198785,4.514347986,-86.0
65,0.062639010,0.048597058,0.775827359,1.847681319,-81.0
66,0.062639010,0.000016549,0.000264200,1.814347986,-86.0
67,0.062639010,0.039313384,0.627618219,2.514347986,-95.0
68,0.062639010,0.048597058,0.775827359,1.847681319,-96.0
69,0.062639010,0.000016549,0.000264200,1.814347986,-107.0
70,0.062639010,-0.216743426,-3.460198785,4.514347986,-108.0
71,0.062639010,0.000016549,0.000264200,1.814347986,-99.0
72,0.062639010,0.048597058,0.775827359,1.847681319,-94.0
73,0.062639010,0.000016549,0.000264200,1.814347986,-97.0
74,0.062639010,0.048597058,0.775827359,1.847681319,-100.0
75,0.062639010,0.048597058,0.775827359,1.847681319,-105.0
76,0.062639010,-0.145384375,-2.320987758,2.714347986,-116.0
77,0.062639010,0.048597058,0.775827359,1.847681319,-117.0
78,0.062639010,0.048597058,0.775827359,1.847681319,-120.0
79,0.062639010,0.000016549,0.000264200,1.814347986,-123.0
80,0.062639010,0.039313384,0.627618219,2.514347986,-122.0
81,0.062639010,0.039313384,0.627618219,2.514347986,-123.0
82,0.062639010,0.048597058,0.775827359,1.847681319,-124.0
83,0.062639010,0.048597058,0.775827359,1.847681319,-123.0
84,0.062639010,0.048597058,0.775827359,1.847681319,-123.0
85,0.062639010,0.000016549,0.000264200,1.814347986,-126.0
86,0.062639010,-0.216743426,-3.460198785,4.514347986,-126.0
87,0.062639010,0.048597058,0.775827359,1.847681319,-121.0
88,0.062639010,-0.145384375,-2.320987758,2.714347986,-120.0
89,0.062639010,0.048597058,0.775827359,1.847681319,-115.0
90,0.062639010,-0.145384375,-2.320987758,2.714347986,-108.0
91,0.062639010,0.000016549,0.000264200,1.814347986,-107.0
92,0.062639010,0.048597058,0.775827359,1.847681319,-110.0
93,0.062639010,0.048597058,0.775827359,1.847681319,-109.0
94,0.062639010,-0.216743426,-3.460198785,4.514347986,-109.0
95,0.062639010,0.000016549,0.000264200,1.814347986,-118.0
96,0.062639010,0.039313384,0.627618219,2.514347986,-119.0
97,0.062639010,0.000016549,0.000264200,1.814347986,-126.0
98,0.062639010,0.048597058,0.775827359,1.847681319,-129.0
99,0.062639010,0.039313384,0.627618219,2.514347986,-132.0
100,0.062639010,0.048597058,0.775827359,1.847681319,-135.0
101,0.062639010,-0.216743426,-3.460198785,4.514347986,-146.0
102,0.062639010,0.000016549,0.000264200,1.814347986,-145.0
103,0.062639010,0.048597058,0.775827359,1.847681319,-144.0
104,0.062639010,0.048597058,0.775827359,1.847681319,-141.0
105,0.062639010,-0.216743426,-3.460198785,4.514347986,-140.0
106,0.062639010,0.039313384,0.627618219,2.514347986,-139.0
107,0.062639010,-0.216743426,-3.460198785,4.514347986,-139.0
108,0.062639010,0.048597058,0.775827359,1.847681319,-136.0
109,0.062639010,-0.216743426,-3.460198785,4.514347986,-131.0
110,0.062639010,-0.216743426,-3.460198785,4.514347986,-130.0
111,0.062639010,-0.216743426,-3.460198785,4.514347986,-125.0
112,0.062639010,0.048597058,0.775827359,1.847681319,-120.0
113,0.062639010,0.000016549,0.000264200,1.814347986,-120.0
114,0.062639010,0.048597058,0.775827359,1.847681319,-125.0
115,0.062639010,0.000016549,0.000264200,1.814347986,-132.0
116,0.062639010,0.039313384,0.627618219,2.514347986,-137.0
117,0.062639010,0.000016549,0.000264200,1.814347986,-140.0
118,0.062639010,0.000016549,0.000264200,1.814347986,-139.0
119,0.062639010,0.000016549,0.000264200,1.814347986,-138.0
120,0.062639010,0.048597058,0.775827359,1.847681319,-143.0
121,0.062639010,-0.216743426,-3.460198785,4.514347986,-142.0
122,0.062639010,0.048597058,0.775827359,1.847681319,-137.0
123,0.062639010,0.000016549,0.000264200,1.814347986,-137.0
124,0.062639010,0.000016549,0.000264200,1.814347986,-138.0
125,0.062639010,0.000016549,0.000264200,1.814347986,-133.0
126,0.062639010,0.000016549,0.000264200,1.814347986,-134.0
127,0.062639010,-0.216743426,-3.460198785,4.514347986,-135.0
128,0.062639010,-0.216743426,-3.460198785,4.514347986,-148.0
129,0.062639010,-0.216743426,-3.460198785,4.514347986,-139.0
130,0.062639010,0.000016549,0.000264200,1.814347986,-134.0
131,0.062639010,0.000016549,0.000264200,1.814347986,-131.0
132,0.062639010,-0.216743426,-3.460198785,4.514347986,-132.0
133,0.062639010,0.000016549,0.000264200,1.814347986,-127.0
134,0.062639010,-0.216743426,-3.460198785,4.514347986,-128.0
