Hand,PotentialExploitability,Exploited,PctExploited,P0Vulnerability,Winnings
0,0.258945495,-0.067435417,-0.260423209,2.514347986,0.0
1,0.258945495,-0.004826915,-0.018640660,1.814347986,1.0
2,0.258945495,0.011880508,0.045880342,1.847681319,0.0
3,0.258945495,-0.004826915,-0.018640660,1.814347986,1.0
4,0.258945495,-0.004826915,-0.018640660,1.814347986,2.0
5,0.258945495,0.011880508,0.045880342,1.847681319,1.0
6,0.258945495,-0.004826915,-0.018640660,1.814347986,-2.0
7,0.258945495,0.011880508,0.045880342,1.847681319,-1.0
8,0.258945495,-0.004826915,-0.018640660,1.814347986,0.0
9,0.258945495,0.244800637,0.945375151,4.514347986,-1.0
10,0.258945495,0.244800637,0.945375151,4.514347986,0.0
11,0.258945495,-0.004826915,-0.018640660,1.814347986,-13.0
12,0.258945495,-0.067435417,-0.260423209,2.514347986,-6.0
13,0.258945495,-0.004826915,-0.018640660,1.814347986,-9.0
14,0.258945495,0.258945495,1.000000000,2.714347986,-14.0
15,0.258945495,0.244800637,0.945375151,4.514347986,-13.0
16,0.258945495,0.258945495,1.000000000,2.714347986,-12.0
17,0.258945495,0.011880508,0.045880342,1.847681319,-19.0
18,0.258945495,0.011880508,0.045880342,1.847681319,-18.0
19,0.258945495,-0.004826915,-0.018640660,1.814347986,-29.0
20,0.258945495,-0.067435417,-0.260423209,2.514347986,-30.0
21,0.258945495,0.011880508,0.045880342,1.847681319,-31.0
22,0.258945495,0.244800637,0.945375151,4.514347986,-28.0
23,0.258945495,0.011880508,0.045880342,1.847681319,-25.0
24,0.258945495,0.011880508,0.045880342,1.847681319,-24.0
25,0.258945495,-0.067435417,-0.260423209,2.514347986,-23.0
26,0.258945495,-0.067435417,-0.260423209,2.514347986,-22.0
27,0.258945495,0.011880508,0.045880342,1.847681319,-25.0
28,0.258945495,-0.067435417,-0.260423209,2.514347986,-18.0
29,0.258945495,-0.067435417,-0.260423209,2.514347986,-19.0
30,0.258945495,-0.067435417,-0.260423209,2.514347986,-18.0
31,0.258945495,-0.067435417,-0.260423209,2.514347986,-17.0
32,0.258945495,0.244800637,0.945375151,4.514347986,-16.0
