Hand,PotentialExploitability,Exploited,PctExploited,P0Vulnerability,Winnings
0,0.048167295,0.017987169,0.373431158,1.847681319,-7
1,0.048167295,0.000424387,0.008810694,1.814347986,-10
2,0.048167295,0.041684223,0.865405119,2.514347986,-10.0
3,0.048167295,0.041684223,0.865405119,2.514347986,-9.0
4,0.048167295,0.041684223,0.865405119,2.514347986,-10.0
5,0.048167295,0.000424387,0.008810694,1.814347986,-11.0
6,0.048167295,-0.203144164,-4.217470910,4.514347986,-12.0
7,0.048167295,0.000424387,0.008810694,1.814347986,-11.0
8,0.048167295,-0.203144164,-4.217470910,4.514347986,-12.0
9,0.048167295,0.041684223,0.865405119,2.514347986,-15.0
10,0.048167295,0.017987169,0.373431158,1.847681319,-10.0
11,0.048167295,0.000424387,0.008810694,1.814347986,-15.0
12,0.048167295,0.000424387,0.008810694,1.814347986,-16.0
13,0.048167295,-0.163190031,-3.387984150,2.714347986,-17.0
14,0.048167295,0.041684223,0.865405119,2.514347986,-10.0
15,0.048167295,0.041684223,0.865405119,2.514347986,-9.0
16,0.048167295,0.041684223,0.865405119,2.514347986,-9.0
17,0.048167295,0.017987169,0.373431158,1.847681319,-12.0
18,0.048167295,-0.163190031,-3.387984150,2.714347986,-11.0
19,0.048167295,-0.203144164,-4.217470910,4.514347986,-2.0
20,0.048167295,-0.163190031,-3.387984150,2.714347986,3.0
21,0.048167295,0.017987169,0.373431158,1.847681319,-4.0
22,0.048167295,0.000424387,0.008810694,1.814347986,-9.0
23,0.048167295,0.000424387,0.008810694,1.814347986,-16.0
24,0.048167295,0.041684223,0.865405119,2.514347986,-16.0
25,0.048167295,-0.203144164,-4.217470910,4.514347986,-17.0
26,0.048167295,-0.203144164,-4.217470910,4.514347986,-30.0
27,0.048167295,-0.203144164,-4.217470910,4.514347986,-25.0
28,0.048167295,-0.203144164,-4.217470910,4.514347986,-30.0
29,0.048167295,-0.163190031,-3.387984150,2.714347986,-25.0
30,0.048167295,-0.163190031,-3.387984150,2.714347986,-16.0
31,0.048167295,-0.163190031,-3.387984150,2.714347986,-13.0
32,0.048167295,0.017987169,0.373431158,1.847681319,-12.0
33,0.048167295,0.000424387,0.008810694,1.814347986,-15.0
34,0.048167295,0.017987169,0.373431158,1.847681319,-16.0
35,0.048167295,-0.203144164,-4.217470910,4.514347986,-7.0
36,0.048167295,0.017987169,0.373431158,1.847681319,-6.0
37,0.048167295,0.017987169,0.373431158,1.847681319,-1.0
38,0.048167295,0.000424387,0.008810694,1.814347986,6.0
39,0.048167295,0.017987169,0.373431158,1.847681319,11.0
40,0.048167295,0.017987169,0.373431158,1.847681319,11.0
41,0.048167295,0.041684223,0.865405119,2.514347986,11.0
42,0.048167295,0.017987169,0.373431158,1.847681319,10.0
43,0.048167295,-0.163190031,-3.387984150,2.714347986,11.0
44,0.048167295,-0.163190031,-3.387984150,2.714347986,12.0
45,0.048167295,-0.203144164,-4.217470910,4.514347986,13.0
46,0.048167295,-0.163190031,-3.387984150,2.714347986,12.0
47,0.048167295,0.000424387,0.008810694,1.814347986,13.0
48,0.048167295,0.041684223,0.865405119,2.514347986,12.0
49,0.048167295,-0.203144164,-4.217470910,4.514347986,13.0
50,0.048167295,0.000424387,0.008810694,1.814347986,14.0
51,0.048167295,0.017987169,0.373431158,1.847681319,13.0
52,0.048167295,0.000424387,0.008810694,1.814347986,14.0
53,0.048167295,0.017987169,0.373431158,1.847681319,14.0
54,0.048167295,0.000424387,0.008810694,1.814347986,11.0
55,0.048167295,0.000424387,0.008810694,1.814347986,6.0
56,0.048167295,-0.203144164,-4.217470910,4.514347986,5.0
57,0.048167295,0.000424387,0.008810694,1.814347986,6.0
58,0.048167295,0.000424387,0.008810694,1.814347986,5.0
59,0.048167295,-0.163190031,-3.387984150,2.714347986,0.0
60,0.048167295,0.000424387,0.008810694,1.814347986,1.0
61,0.048167295,-0.163190031,-3.387984150,2.714347986,0.0
62,0.048167295,0.000424387,0.008810694,1.814347986,-13.0
63,0.048167295,-0.203144164,-4.217470910,4.514347986,-8.0
64,0.048167295,0.041684223,0.865405119,2.514347986,1.0
65,0.048167295,-0.203144164,-4.217470910,4.514347986,0.0
66,0.048167295,-0.203144164,-4.217470910,4.514347986,-9.0
67,0.048167295,-0.203144164,-4.217470910,4.514347986,-18.0
68,0.048167295,0.000424387,0.008810694,1.814347986,-13.0
69,0.048167295,-0.203144164,-4.217470910,4.514347986,-14.0
70,0.048167295,0.017987169,0.373431158,1.847681319,-23.0
71,0.048167295,0.017987169,0.373431158,1.847681319,-23.0
72,0.048167295,0.000424387,0.008810694,1.814347986,-20.0
73,0.048167295,-0.203144164,-4.217470910,4.514347986,-15.0
74,0.048167295,0.017987169,0.373431158,1.847681319,-24.0
75,0.048167295,-0.203144164,-4.217470910,4.514347986,-23.0
76,0.048167295,-0.203144164,-4.217470910,4.514347986,-22.0
77,0.048167295,-0.203144164,-4.217470910,4.514347986,-22.0
78,0.048167295,-0.203144164,-4.217470910,4.514347986,-17.0
79,0.048167295,-0.203144164,-4.217470910,4.514347986,-16.0
80,0.048167295,-0.203144164,-4.217470910,4.514347986,-7.0
81,0.048167295,0.000424387,0.008810694,1.814347986,-6.0
82,0.048167295,0.000424387,0.008810694,1.814347986,-7.0
83,0.048167295,-0.203144164,-4.217470910,4.514347986,-8.0
84,0.048167295,0.017987169,0.373431158,1.847681319,5.0
85,0.048167295,-0.203144164,-4.217470910,4.514347986,6.0
86,0.048167295,-0.203144164,-4.217470910,4.514347986,7.0
87,0.048167295,0.000424387,0.008810694,1.814347986,-6.0
88,0.048167295,0.000424387,0.008810694,1.814347986,-1.0
